,motor_positions,beam_positions
0,37.0,293.998901
1,-25.0,295.278473
2,85.0,292.867371
3,181.0,290.489502
4,-29.0,295.548431
5,4.0,294.997528
6,151.0,291.113251
7,-178.0,299.005951
8,188.0,290.1138
9,16.0,294.616241
10,-155.0,298.989624
11,31.0,294.498108
12,129.0,291.816772
13,106.0,292.451538
14,-95.0,297.496765
15,-24.0,295.811401
16,17.0,294.510345
17,-14.0,295.211945
18,-68.0,296.990631
19,64.0,293.702881
20,103.0,292.686188
21,-29.0,295.991486
22,-118.0,298.105499
23,138.0,291.871857
24,1.0,295.179565
25,-164.0,299.013092
26,-22.0,295.99231
27,143.0,291.890259
28,-167.0,299.363373
29,-173.0,299.370972
30,-143.0,298.993988
31,123.0,292.493225
32,134.0,291.885223
33,100.0,292.800293
34,130.0,291.998505
35,-131.0,298.411835
36,-100.0,297.798401
37,-48.0,296.33667
38,-174.0,299.009796
39,26.0,294.493286
40,70.0,293.489716
41,86.0,292.753723
42,196.0,290.09256
43,-163.0,298.995056
44,-81.0,297.005951
45,-1.0,295.000488
46,188.0,290.097748
47,-109.0,297.870667
48,99.0,292.499146
49,-172.0,299.000977
50,-14.0,295.249481
51,110.0,292.012665
52,-35.0,295.908203
53,79.0,293.100708
54,-27.0,295.883026
55,149.0,291.540833
56,-68.0,296.988434
57,80.0,293.181061
58,-197.0,299.878326
59,-53.0,296.503082
60,-178.0,299.330139
61,103.0,292.696991
62,55.0,293.995728
63,-100.0,297.712006
64,8.0,295.005493
65,40.0,294.007935
66,-22.0,295.750427
67,9.0,295.001648
68,10.0,294.994019
69,42.0,294.095093
70,123.0,292.086517
71,-192.0,299.498779
72,-62.0,296.504242
73,-121.0,297.88623
74,71.0,293.201385
75,-75.0,296.988464
76,40.0,294.107025
77,-165.0,298.989685
78,-116.0,297.869873
79,102.0,292.375671
80,-123.0,297.805176
81,11.0,294.988983
82,-161.0,298.812683
83,35.0,294.006042
84,14.0,294.694611
85,-48.0,296.003845
86,140.0,291.656921
87,170.0,290.660767
88,-167.0,298.882538
89,109.0,292.225281
90,169.0,290.700104
91,113.0,292.112793
92,-146.0,298.652435
93,-190.0,299.50174
94,72.0,293.22522
95,-21.0,295.692352
96,117.0,292.004486
97,-56.0,296.452484
98,200.0,290.003876
99,98.0,292.699158
