cam number	FOV [mm]	Left edge [mm]	ROI Y offset	ROI height	ROI X offset	ROI width	Y center pixel	Y Start	Y End	X Start	X End	rot [deg]	sensitivity	setN	hole1 x1	hole1 x2	hole1 y1	hole1 y2	hole2 x1	hole2 x2	hole2 y1	hole2 y2	hole3 x1	hole3 x2	hole3 y1	hole3 y2	hole4 x1	hole4 x2	hole4 y1	hole4 y2
1	260.873	-42.79	158	150	0	692	79	27	131	400	692	0.5	1	9	78.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	272.8707	201.5	160	150	0	692	81	21	131	40	692	0	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	270.8415	456.9	166	150	0	692	78	28	128	44	692	0.1	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	264.6272	869.4	170	150	0	692	71	19	123	15	692	0.55	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	253.5573	623.7	166	150	0	692	78.5	24	133	51	692	0.15	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	286.6272	382.9	160	150	0	692	75	27	123	30	692	0	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	248.6228	104	150	150	0	692	75	20	130	21	692	-0.1	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	268.3037	-129.9	180	150	0	692	73	22	124	38	692	-0.1	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	247.5112	-399	160	150	0	692	70	14	126	1	692	-0.2	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	258.0339	-613.8	154	150	0	692	75	21	129	89	692	0.25	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	202.9	186	260	700	500	600	270	1	550	1	400	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	1.8	1.1	2	0.35
