setting number	FOV slope	FOV offset	vignette 4	vignette 2	vignette 0	sensitivity 2	sensitivity 1	sensitivity 0	full width	full height
1	0.7315	22.753	2.17E-12	-1.76E-06	1	1.81E-05	0.00116156	0.01691097	512	384
2	0.9121	24.762	3.83E-12	-3.64E-06	1	0.0000247	0.00146	0.0174	512	384
3	0.1896	0.982	2.85E-12	-1.41E-06	1	0.000000338	-0.0000936	0.03011273	512	512
4	0.5721	7.7876	2.55E-12	-9.29E-07	1	1.57E-05	-0.000705303	0.05496356	512	384
5	0.592	6.9601	5.42E-14	-4.24E-07	1	1.83E-06	-0.0000549	-0.0000543	1288	964
6	0.7866	10.824	-4.00E-13	-6.31E-07	1	5.03E-06	0.000150642	-0.00088443	1384	1032
7	0.9865	27.171	5.66E-12	-3.12E-06	1	7.95E-06	0.000496924	-0.003981836	692	516
8	0.9865	27.171	-6.00E-13	-7.80E-07	1	7.95E-06	4.97E-04	-0.003981836	1384	1032
9	0.7866	10.824	2.47E-12	-2.52E-06	1	5.03E-06	0.000150642	-0.00088443	692	516
10	0.61	6.12	2.54317E-13	-9.22E-07	1	1.5379E-05	2.2023E-04	1.8637E-02	724	542
11	0.596	7.81	1.59310E-13	-9.28E-06	1.00000E+00	7.40600E-06	3.16210E-04	9.08630E-03	1440	1080
12	1	27	0	0	1	0	0	3.13	1288	728
13	0.9865	27.171	2.50E-12	-3.20E-06	1	7.95E-06	4.97E-04	-0.003981836	1384	1032
14	0.9865	27.171	1.20E-12	-2.00E-06	1	7.95E-06	4.97E-04	-0.003981836	1384	1032
