# wavelength [nm], transmission T [%]
1.900000000000000000e+02,1.023051033933827014e+01
1.905000000000000000e+02,8.968211273732668687e+00
1.910000000000000000e+02,6.528811701030313941e+00
1.915000000000000000e+02,9.310729864510136622e+00
1.920000000000000000e+02,1.062393760421035083e+01
1.925000000000000000e+02,9.752678181935436896e+00
1.930000000000000000e+02,1.249603817144904028e+01
1.935000000000000000e+02,1.382669228284978757e+01
1.940000000000000000e+02,1.167951986041595624e+01
1.945000000000000000e+02,9.137241094927446738e+00
1.950000000000000000e+02,6.507392984147609027e+00
1.955000000000000000e+02,3.551161453873688423e+00
1.960000000000000000e+02,3.109114366077507352e+00
1.965000000000000000e+02,6.942599257905874843e+00
1.970000000000000000e+02,1.013722882982107443e+01
1.975000000000000000e+02,7.510591354603371350e+00
1.980000000000000000e+02,2.246518757585901138e+00
1.985000000000000000e+02,3.487201413770461667e+00
1.990000000000000000e+02,9.971952766789993206e+00
1.995000000000000000e+02,1.330477856705164719e+01
2.000000000000000000e+02,1.334272350409756491e+01
2.005000000000000000e+02,1.466982701705781267e+01
2.010000000000000000e+02,1.269024034151465230e+01
2.015000000000000000e+02,7.955405207623421404e+00
2.020000000000000000e+02,9.277695691854797033e+00
2.025000000000000000e+02,7.580181294253240942e+00
2.030000000000000000e+02,6.692527057131500534e+00
2.035000000000000000e+02,6.012154302863070399e+00
2.040000000000000000e+02,5.433705137408343155e+00
2.045000000000000000e+02,4.686371676194080571e+00
2.050000000000000000e+02,4.359083848649039972e+00
2.055000000000000000e+02,4.461464647194434363e+00
2.060000000000000000e+02,4.993447830728952042e+00
2.065000000000000000e+02,5.442017153071790680e+00
2.070000000000000000e+02,5.329881613858086453e+00
2.075000000000000000e+02,5.156381381560040111e+00
2.080000000000000000e+02,5.629613205522334241e+00
2.085000000000000000e+02,5.987860795992920870e+00
2.090000000000000000e+02,5.207295756648437468e+00
2.095000000000000000e+02,5.186370740282927549e+00
2.100000000000000000e+02,5.618105402690024341e+00
2.105000000000000000e+02,5.472961314592215132e+00
2.110000000000000000e+02,5.450071621534590349e+00
2.115000000000000000e+02,5.709831823869897960e+00
2.120000000000000000e+02,5.545199676146130408e+00
2.125000000000000000e+02,5.095647514127485067e+00
2.130000000000000000e+02,4.832094645986491521e+00
2.135000000000000000e+02,4.769164721414345998e+00
2.140000000000000000e+02,4.790591381922082448e+00
2.145000000000000000e+02,5.211362799952215852e+00
2.150000000000000000e+02,6.496431731089473693e+00
2.155000000000000000e+02,8.595611121299704394e+00
2.160000000000000000e+02,9.443227804818956628e+00
2.165000000000000000e+02,8.564168453222096744e+00
2.170000000000000000e+02,8.067063188141430530e+00
2.175000000000000000e+02,8.260606291926848144e+00
