kinetic energy [MeV]	momentum [MeV/c]	total energy [MeV]	\gamma	\beta	orbit radius [m]	bending angle [dgr]	bending angle at screen [dgr]	incident angle [dgr]	drift1 [m]	drift2 [m]	total path [m]	screen [m]	Bpeak [T]	B.m [T.m]	effective length [m]	MagRds [m]	side logic	x conv fct rms	y conv fct rms	momentum rsl [%/mrad]	side screen [m]	front screen [m]
9999.489014	10000.000000	10000.000013	19569.507649	1.000000	33.356410	0.671816	0.671816	0.053831	0.691770	0.333112	2.716000	0.006203	1.000000	0.391118	0.391118	0.195800	0.000000	1.000000	1.000000	1.000000	0.006203	0.006203
9899.489014	9900.000000	9900.000013	19373.812573	1.000000	33.022845	0.678602	0.678602	0.054375	0.691770	0.333112	2.716000	0.006266	1.000000	0.391118	0.391118	0.195800	0.000000	1.000000	1.000000	1.000000	0.006266	0.006266
9799.489014	9800.000000	9800.000013	19178.117497	1.000000	32.689281	0.685526	0.685526	0.054930	0.691770	0.333112	2.716000	0.006330	1.000000	0.391118	0.391118	0.195800	0.000000	1.000000	1.000000	1.000000	0.006330	0.006330
9699.489014	9700.000000	9700.000013	18982.422421	1.000000	32.355717	0.692593	0.692593	0.055496	0.691770	0.333112	2.716000	0.006395	1.000000	0.391118	0.391118	0.195800	0.000000	1.000000	1.000000	1.000000	0.006395	0.006395
9599.489015	9600.000000	9600.000014	18786.727345	1.000000	32.022153	0.699808	0.699808	0.056074	0.691770	0.333112	2.716000	0.006462	1.000000	0.391117	0.391117	0.195800	0.000000	1.000000	1.000000	1.000000	0.006462	0.006462
9499.489015	9500.000000	9500.000014	18591.032269	1.000000	31.688589	0.707174	0.707174	0.056665	0.691770	0.333113	2.716000	0.006530	1.000000	0.391117	0.391117	0.195800	0.000000	1.000000	1.000000	1.000000	0.006530	0.006530
9399.489015	9400.000000	9400.000014	18395.337193	1.000000	31.355025	0.714697	0.714697	0.057267	0.691770	0.333113	2.716000	0.006599	1.000000	0.391117	0.391117	0.195800	0.000000	1.000000	1.000000	1.000000	0.006599	0.006599
9299.489015	9300.000000	9300.000014	18199.642117	1.000000	31.021461	0.722382	0.722382	0.057883	0.691770	0.333113	2.716000	0.006670	1.000000	0.391117	0.391117	0.195800	0.000000	1.000000	1.000000	1.000000	0.006670	0.006670
9199.489015	9200.000000	9200.000014	18003.947041	1.000000	30.687897	0.730233	0.730233	0.058512	0.691770	0.333113	2.716000	0.006743	1.000000	0.391117	0.391117	0.195800	0.000000	1.000000	1.000000	1.000000	0.006743	0.006743
9099.489015	9100.000000	9100.000014	17808.251965	1.000000	30.354333	0.738258	0.738258	0.059155	0.691770	0.333113	2.716000	0.006817	1.000000	0.391117	0.391117	0.195800	0.000000	1.000000	1.000000	1.000000	0.006817	0.006817
8999.489015	9000.000000	9000.000015	17612.556889	1.000000	30.020769	0.746460	0.746460	0.059813	0.691770	0.333113	2.716000	0.006892	1.000000	0.391117	0.391117	0.195800	0.000000	1.000000	1.000000	1.000000	0.006892	0.006892
8899.489016	8900.000000	8900.000015	17416.861813	1.000000	29.687204	0.754847	0.754847	0.060485	0.691770	0.333113	2.716000	0.006970	1.000000	0.391116	0.391116	0.195800	0.000000	1.000000	1.000000	1.000000	0.006970	0.006970
8799.489016	8800.000000	8800.000015	17221.166737	1.000000	29.353640	0.763425	0.763425	0.061172	0.691770	0.333113	2.716000	0.007049	1.000000	0.391116	0.391116	0.195800	0.000000	1.000000	1.000000	1.000000	0.007049	0.007049
8699.489016	8700.000000	8700.000015	17025.471661	1.000000	29.020076	0.772199	0.772199	0.061875	0.691770	0.333114	2.716000	0.007130	1.000000	0.391116	0.391116	0.195800	0.000000	1.000000	1.000000	1.000000	0.007130	0.007130
8599.489016	8600.000000	8600.000015	16829.776585	1.000000	28.686512	0.781178	0.781178	0.062595	0.691770	0.333114	2.716000	0.007213	1.000000	0.391116	0.391116	0.195800	0.000000	1.000000	1.000000	1.000000	0.007213	0.007213
8499.489016	8500.000000	8500.000015	16634.081510	1.000000	28.352948	0.790368	0.790368	0.063331	0.691770	0.333114	2.716000	0.007298	1.000000	0.391116	0.391116	0.195800	0.000000	1.000000	1.000000	1.000000	0.007298	0.007298
8399.489016	8400.000000	8400.000016	16438.386434	1.000000	28.019384	0.799777	0.799777	0.064085	0.691770	0.333114	2.716000	0.007385	1.000000	0.391116	0.391116	0.195800	0.000000	1.000000	1.000000	1.000000	0.007385	0.007385
8299.489017	8300.000000	8300.000016	16242.691358	1.000000	27.685820	0.809412	0.809412	0.064857	0.691770	0.333114	2.716000	0.007474	1.000000	0.391115	0.391115	0.195800	0.000000	1.000000	1.000000	1.000000	0.007474	0.007474
8199.489017	8200.000000	8200.000016	16046.996282	1.000000	27.352256	0.819283	0.819283	0.065648	0.691770	0.333115	2.716000	0.007565	1.000000	0.391115	0.391115	0.195800	0.000000	1.000000	1.000000	1.000000	0.007565	0.007565
8099.489017	8100.000000	8100.000016	15851.301206	1.000000	27.018692	0.829397	0.829397	0.066458	0.691770	0.333115	2.716000	0.007658	1.000000	0.391115	0.391115	0.195800	0.000000	1.000000	1.000000	1.000000	0.007658	0.007658
7999.489017	8000.000000	8000.000016	15655.606130	1.000000	26.685128	0.839764	0.839764	0.067289	0.691770	0.333115	2.716000	0.007754	1.000000	0.391115	0.391115	0.195800	0.000000	1.000000	1.000000	1.000000	0.007754	0.007754
7899.489017	7900.000000	7900.000017	15459.911054	1.000000	26.351564	0.850393	0.850393	0.068141	0.691770	0.333115	2.716000	0.007852	1.000000	0.391115	0.391115	0.195800	0.000000	1.000000	1.000000	1.000000	0.007852	0.007852
7799.489018	7800.000000	7800.000017	15264.215979	1.000000	26.017999	0.861295	0.861295	0.069015	0.691770	0.333115	2.716000	0.007953	1.000000	0.391114	0.391114	0.195800	0.000000	1.000000	1.000000	1.000000	0.007953	0.007953
7699.489018	7700.000000	7700.000017	15068.520903	1.000000	25.684435	0.872481	0.872481	0.069911	0.691770	0.333116	2.716000	0.008056	1.000000	0.391114	0.391114	0.195800	0.000000	1.000000	1.000000	1.000000	0.008056	0.008056
7599.489018	7600.000000	7600.000017	14872.825827	1.000000	25.350871	0.883960	0.883960	0.070831	0.691770	0.333116	2.716000	0.008162	1.000000	0.391114	0.391114	0.195800	0.000000	1.000000	1.000000	1.000000	0.008162	0.008162
7499.489018	7500.000000	7500.000017	14677.130751	1.000000	25.017307	0.895746	0.895746	0.071775	0.691770	0.333116	2.716000	0.008271	1.000000	0.391114	0.391114	0.195800	0.000000	1.000000	1.000000	1.000000	0.008271	0.008271
7399.489019	7400.000000	7400.000018	14481.435676	1.000000	24.683743	0.907850	0.907850	0.072745	0.691770	0.333116	2.716000	0.008382	1.000000	0.391113	0.391113	0.195800	0.000000	1.000000	1.000000	1.000000	0.008382	0.008382
7299.489019	7300.000000	7300.000018	14285.740600	1.000000	24.350179	0.920285	0.920285	0.073742	0.691770	0.333117	2.716000	0.008497	1.000000	0.391113	0.391113	0.195800	0.000000	1.000000	1.000000	1.000000	0.008497	0.008497
7199.489019	7200.000000	7200.000018	14090.045524	1.000000	24.016615	0.933066	0.933066	0.074766	0.691770	0.333117	2.716000	0.008615	1.000000	0.391113	0.391113	0.195800	0.000000	1.000000	1.000000	1.000000	0.008615	0.008615
7099.489019	7100.000000	7100.000018	13894.350448	1.000000	23.683051	0.946207	0.946207	0.075819	0.691770	0.333117	2.716000	0.008737	1.000000	0.391113	0.391113	0.195800	0.000000	1.000000	1.000000	1.000000	0.008737	0.008737
6999.489020	7000.000000	7000.000019	13698.655373	1.000000	23.349487	0.959724	0.959724	0.076902	0.691770	0.333117	2.716000	0.008861	1.000000	0.391112	0.391112	0.195800	0.000000	1.000000	1.000000	1.000000	0.008861	0.008861
6899.489020	6900.000000	6900.000019	13502.960297	1.000000	23.015923	0.973632	0.973632	0.078016	0.691770	0.333118	2.716000	0.008990	1.000000	0.391112	0.391112	0.195800	0.000000	1.000000	1.000000	1.000000	0.008990	0.008990
6799.489020	6800.000000	6800.000019	13307.265221	1.000000	22.682358	0.987950	0.987950	0.079164	0.691770	0.333118	2.716000	0.009122	1.000000	0.391112	0.391112	0.195800	0.000000	1.000000	1.000000	1.000000	0.009122	0.009122
6699.489020	6700.000000	6700.000019	13111.570146	1.000000	22.348794	1.002694	1.002694	0.080345	0.691770	0.333118	2.716000	0.009258	1.000000	0.391111	0.391111	0.195800	0.000000	1.000000	1.000000	1.000000	0.009258	0.009258
6599.489021	6600.000000	6600.000020	12915.875070	1.000000	22.015230	1.017886	1.017886	0.081563	0.691770	0.333119	2.716000	0.009398	1.000000	0.391111	0.391111	0.195800	0.000000	1.000000	1.000000	1.000000	0.009398	0.009398
6499.489021	6500.000000	6500.000020	12720.179994	1.000000	21.681666	1.033544	1.033544	0.082817	0.691770	0.333119	2.716000	0.009543	1.000000	0.391111	0.391111	0.195800	0.000000	1.000000	1.000000	1.000000	0.009543	0.009543
6399.489021	6400.000000	6400.000020	12524.484919	1.000000	21.348102	1.049692	1.049692	0.084112	0.691770	0.333120	2.716000	0.009692	1.000000	0.391110	0.391110	0.195800	0.000000	1.000000	1.000000	1.000000	0.009692	0.009692
6299.489022	6300.000000	6300.000021	12328.789843	1.000000	21.014538	1.066353	1.066353	0.085447	0.691770	0.333120	2.716000	0.009846	1.000000	0.391110	0.391110	0.195800	0.000000	1.000000	1.000000	1.000000	0.009846	0.009846
6199.489022	6200.000000	6200.000021	12133.094767	1.000000	20.680974	1.083551	1.083551	0.086825	0.691770	0.333120	2.716000	0.010005	1.000000	0.391109	0.391109	0.195800	0.000000	1.000000	1.000000	1.000000	0.010005	0.010005
6099.489022	6100.000000	6100.000021	11937.399692	1.000000	20.347410	1.101313	1.101313	0.088248	0.691770	0.333121	2.716000	0.010169	1.000000	0.391109	0.391109	0.195800	0.000000	1.000000	1.000000	1.000000	0.010169	0.010169
5999.489023	6000.000000	6000.000022	11741.704616	1.000000	20.013846	1.119667	1.119667	0.089719	0.691770	0.333121	2.716000	0.010338	1.000000	0.391108	0.391108	0.195800	0.000000	1.000000	1.000000	1.000000	0.010338	0.010338
5899.489023	5900.000000	5900.000022	11546.009541	1.000000	19.680282	1.138643	1.138643	0.091240	0.691770	0.333122	2.716000	0.010513	1.000000	0.391108	0.391108	0.195800	0.000000	1.000000	1.000000	1.000000	0.010513	0.010513
5799.489023	5800.000000	5800.000023	11350.314465	1.000000	19.346718	1.158273	1.158273	0.092813	0.691770	0.333122	2.716000	0.010695	1.000000	0.391107	0.391107	0.195800	0.000000	1.000000	1.000000	1.000000	0.010695	0.010695
5699.489024	5700.000000	5700.000023	11154.619390	1.000000	19.013153	1.178592	1.178592	0.094441	0.691770	0.333123	2.716000	0.010882	1.000000	0.391107	0.391107	0.195800	0.000000	1.000000	1.000000	1.000000	0.010882	0.010882
5599.489024	5600.000000	5600.000023	10958.924314	1.000000	18.679589	1.199636	1.199636	0.096127	0.691770	0.333123	2.716000	0.011076	1.000000	0.391106	0.391106	0.195800	0.000000	1.000000	1.000000	1.000000	0.011076	0.011076
5499.489025	5500.000000	5500.000024	10763.229239	1.000000	18.346025	1.221447	1.221447	0.097875	0.691770	0.333224	2.716100	0.011280	1.000000	0.391106	0.391106	0.195800	0.000000	1.000000	1.000000	1.000000	0.011280	0.011280
5399.489025	5400.000000	5400.000024	10567.534164	1.000000	18.012461	1.244065	1.244065	0.099688	0.691770	0.333224	2.716100	0.011489	1.000000	0.391105	0.391105	0.195800	0.000000	1.000000	1.000000	1.000000	0.011489	0.011489
5299.489026	5300.000000	5300.000025	10371.839088	1.000000	17.678897	1.267535	1.267535	0.101569	0.691770	0.333225	2.716100	0.011705	1.000000	0.391105	0.391105	0.195800	0.000000	1.000000	1.000000	1.000000	0.011705	0.011705
5199.489026	5200.000000	5200.000025	10176.144013	1.000000	17.345333	1.291909	1.291909	0.103522	0.691770	0.333226	2.716100	0.011931	1.000000	0.391104	0.391104	0.195800	0.000000	1.000000	1.000000	1.000000	0.011931	0.011931
5099.489027	5100.000000	5100.000026	9980.448938	1.000000	17.011769	1.317237	1.317237	0.105552	0.691770	0.333226	2.716100	0.012164	1.000000	0.391103	0.391103	0.195800	0.000000	1.000000	1.000000	1.000000	0.012164	0.012164
4999.489027	5000.000000	5000.000026	9784.753863	1.000000	16.678205	1.343579	1.343579	0.107663	0.691770	0.333227	2.716100	0.012408	1.000000	0.391102	0.391102	0.195800	0.000000	1.000000	1.000000	1.000000	0.012408	0.012408
4899.489028	4900.000000	4900.000027	9589.058787	1.000000	16.344641	1.370996	1.370996	0.109860	0.691770	0.333228	2.716100	0.012661	1.000000	0.391102	0.391102	0.195800	0.000000	1.000000	1.000000	1.000000	0.012661	0.012661
4799.489028	4800.000000	4800.000027	9393.363712	1.000000	16.011077	1.399555	1.399555	0.112149	0.691770	0.333229	2.716100	0.012925	1.000000	0.391101	0.391101	0.195800	0.000000	1.000000	1.000000	1.000000	0.012925	0.012925
4699.489029	4700.000000	4700.000028	9197.668637	1.000000	15.677512	1.429330	1.429330	0.114535	0.691770	0.333230	2.716100	0.013199	1.000000	0.391100	0.391100	0.195800	0.000000	1.000000	1.000000	1.000000	0.013199	0.013199
4599.489029	4600.000000	4600.000028	9001.973562	1.000000	15.343948	1.460398	1.460398	0.117025	0.691770	0.333231	2.716100	0.013486	1.000000	0.391099	0.391099	0.195800	0.000000	1.000000	1.000000	1.000000	0.013486	0.013486
4499.489030	4500.000000	4500.000029	8806.278487	1.000000	15.010384	1.492847	1.492847	0.119625	0.691770	0.333232	2.716100	0.013786	1.000000	0.391097	0.391097	0.195800	0.000000	1.000000	1.000000	1.000000	0.013786	0.013786
4399.489031	4400.000000	4400.000030	8610.583412	1.000000	14.676820	1.526771	1.526771	0.122344	0.691770	0.333233	2.716100	0.014099	1.000000	0.391096	0.391096	0.195800	0.000000	1.000000	1.000000	1.000000	0.014099	0.014099
4299.489031	4300.000000	4300.000030	8414.888337	1.000000	14.343256	1.562272	1.562272	0.125189	0.691770	0.333235	2.716100	0.014427	1.000000	0.391095	0.391095	0.195800	0.000000	1.000000	1.000000	1.000000	0.014427	0.014427
4199.489032	4200.000000	4200.000031	8219.193262	1.000000	14.009692	1.599463	1.599463	0.128170	0.691770	0.333236	2.716100	0.014770	1.000000	0.391094	0.391094	0.195800	0.000000	1.000000	1.000000	1.000000	0.014770	0.014770
4099.489033	4100.000000	4100.000032	8023.498188	1.000000	13.676128	1.638468	1.638468	0.131296	0.691770	0.333238	2.716100	0.015131	1.000000	0.391092	0.391092	0.195800	0.000000	1.000000	1.000000	1.000000	0.015131	0.015131
3999.489034	4000.000000	4000.000033	7827.803113	1.000000	13.342564	1.679423	1.679423	0.134578	0.691770	0.333239	2.716100	0.015509	1.000000	0.391090	0.391090	0.195800	0.000000	1.000000	1.000000	1.000000	0.015509	0.015509
3899.489034	3900.000000	3900.000033	7632.108038	1.000000	13.009000	1.722480	1.722480	0.138029	0.691770	0.333340	2.716200	0.015909	1.000000	0.391089	0.391089	0.195800	0.000000	1.000000	1.000000	1.000000	0.015909	0.015909
3799.489035	3800.000000	3800.000034	7436.412964	1.000000	12.675436	1.767800	1.767800	0.141662	0.691770	0.333342	2.716200	0.016328	1.000000	0.391087	0.391087	0.195800	0.000000	1.000000	1.000000	1.000000	0.016328	0.016328
3699.489036	3700.000000	3700.000035	7240.717890	1.000000	12.341872	1.815569	1.815569	0.145490	0.691770	0.333344	2.716200	0.016769	1.000000	0.391085	0.391085	0.195800	0.000000	1.000000	1.000000	1.000000	0.016769	0.016769
3599.489037	3600.000000	3600.000036	7045.022815	1.000000	12.008307	1.865991	1.865991	0.149532	0.691770	0.333346	2.716200	0.017234	1.000000	0.391083	0.391083	0.195800	0.000000	1.000000	1.000000	1.000000	0.017234	0.017234
3499.489038	3500.000000	3500.000037	6849.327741	1.000000	11.674743	1.919293	1.919293	0.153804	0.691770	0.333349	2.716200	0.017727	1.000000	0.391081	0.391081	0.195800	0.000000	1.000000	1.000000	1.000000	0.017727	0.017727
3399.489039	3400.000000	3400.000038	6653.632667	1.000000	11.341179	1.975730	1.975730	0.158328	0.691770	0.333351	2.716200	0.018248	1.000000	0.391078	0.391078	0.195800	0.000000	1.000000	1.000000	1.000000	0.018248	0.018248
3299.489041	3300.000000	3300.000040	6457.937593	1.000000	11.007615	2.035586	2.035586	0.163125	0.691770	0.333354	2.716200	0.018800	1.000000	0.391075	0.391075	0.195800	0.000000	1.000000	1.000000	1.000000	0.018800	0.018800
3199.489042	3200.000000	3200.000041	6262.242519	1.000000	10.674051	2.099184	2.099184	0.168223	0.691771	0.333457	2.716300	0.019391	1.000000	0.391073	0.391073	0.195800	0.000000	1.000000	1.000000	1.000000	0.019391	0.019391
3099.489043	3100.000000	3100.000042	6066.547446	1.000000	10.340487	2.166880	2.166880	0.173650	0.691771	0.333460	2.716300	0.020017	1.000000	0.391069	0.391069	0.195800	0.000000	1.000000	1.000000	1.000000	0.020017	0.020017
2999.489044	3000.000000	3000.000044	5870.852372	1.000000	10.006923	2.239088	2.239088	0.179438	0.691771	0.333464	2.716300	0.020683	1.000000	0.391066	0.391066	0.195800	0.000000	1.000000	1.000000	1.000000	0.020683	0.020683
2899.489046	2900.000000	2900.000045	5675.157299	1.000000	9.673359	2.316274	2.316274	0.185625	0.691771	0.333468	2.716300	0.021396	1.000000	0.391062	0.391062	0.195800	0.000000	1.000000	1.000000	1.000000	0.021396	0.021396
2799.489048	2800.000000	2800.000047	5479.462226	1.000000	9.339795	2.398970	2.398970	0.192255	0.691771	0.333472	2.716300	0.022160	1.000000	0.391057	0.391057	0.195800	0.000000	1.000000	1.000000	1.000000	0.022160	0.022160
2699.489049	2700.000000	2700.000048	5283.767153	1.000000	9.006231	2.487791	2.487791	0.199375	0.691771	0.333577	2.716400	0.022984	1.000000	0.391052	0.391052	0.195800	0.000000	1.000000	1.000000	1.000000	0.022984	0.022984
2599.489051	2600.000000	2600.000050	5088.072080	1.000000	8.672666	2.583438	2.583438	0.207044	0.691771	0.333583	2.716400	0.023868	1.000000	0.391047	0.391047	0.195800	0.000000	1.000000	1.000000	1.000000	0.023868	0.023868
