Momentum_MeV/c	Charge_pC	ChargeDen_pC/MeV/c	acepAngle_mrad	NrmMmt_MeV/c/T	gap Mmt_MeV/c
1.45950202e+00	0.00000000e+00	0.00000000e+00	1.06799488e+01	7.27931182e+00	3.30451287e+01
1.65587180e+00	9.18871965e-03	4.67929413e-02	1.06149303e+01	8.25871223e+00	0.00000000e+00
1.85224158e+00	7.34272928e-03	3.73923586e-02	1.05599162e+01	9.23811263e+00	0.00000000e+00
2.04861136e+00	6.73445400e-03	3.42947574e-02	1.05126454e+01	1.02175130e+01	0.00000000e+00
2.24498115e+00	5.88200263e-03	2.99537057e-02	1.04703948e+01	1.11969134e+01	0.00000000e+00
2.44135093e+00	5.27543513e-03	2.68648012e-02	1.04333619e+01	1.21763138e+01	0.00000000e+00
2.63772071e+00	5.03015765e-03	2.56157420e-02	1.04004239e+01	1.31557143e+01	0.00000000e+00
2.83409049e+00	3.67433251e-03	1.87112930e-02	1.03701114e+01	1.41351147e+01	0.00000000e+00
3.03046027e+00	2.85870235e-03	1.45577509e-02	1.03440075e+01	1.51145151e+01	0.00000000e+00
3.22683005e+00	3.59845244e-03	1.83248788e-02	1.03183349e+01	1.60939155e+01	0.00000000e+00
3.42319983e+00	3.47854861e-03	1.77142765e-02	1.02942357e+01	1.70733159e+01	0.00000000e+00
3.61956961e+00	2.84648964e-03	1.44955584e-02	1.02719872e+01	1.80527163e+01	0.00000000e+00
3.81593940e+00	3.08917333e-03	1.57314089e-02	1.02502752e+01	1.90321167e+01	0.00000000e+00
4.01230918e+00	3.58318165e-03	1.82471133e-02	1.02290702e+01	2.00115171e+01	0.00000000e+00
4.20867896e+00	4.08361448e-03	2.07955341e-02	1.02083931e+01	2.09909175e+01	0.00000000e+00
4.40504874e+00	4.70542570e-03	2.39620662e-02	1.01886814e+01	2.19703179e+01	0.00000000e+00
4.60141852e+00	4.98482735e-03	2.53849004e-02	1.01686371e+01	2.29497183e+01	0.00000000e+00
4.79778830e+00	4.78825669e-03	2.43838775e-02	1.01494575e+01	2.39291187e+01	0.00000000e+00
4.99415808e+00	4.25240830e-03	2.16551053e-02	1.01300338e+01	2.49085191e+01	0.00000000e+00
5.19052786e+00	4.70202311e-03	2.39447387e-02	1.01110003e+01	2.58879195e+01	0.00000000e+00
5.38689765e+00	4.90536480e-03	2.49802427e-02	1.00921026e+01	2.68673199e+01	0.00000000e+00
5.58326743e+00	5.01491251e-03	2.55381071e-02	1.00732368e+01	2.78467203e+01	0.00000000e+00
5.77963721e+00	4.69957651e-03	2.39322796e-02	1.00546313e+01	2.88261207e+01	0.00000000e+00
5.97600699e+00	4.62701154e-03	2.35627473e-02	1.00362827e+01	2.98055211e+01	0.00000000e+00
6.17237677e+00	4.81740535e-03	2.45323151e-02	1.00176364e+01	3.07849216e+01	0.00000000e+00
6.36874655e+00	5.24569451e-03	2.67133490e-02	9.99907972e+00	3.17643220e+01	0.00000000e+00
6.56511633e+00	4.97465867e-03	2.53331171e-02	9.98059139e+00	3.27437224e+01	0.00000000e+00
6.76148612e+00	4.83739244e-03	2.46340980e-02	9.96217199e+00	3.37231228e+01	0.00000000e+00
6.95785590e+00	4.49947398e-03	2.29132708e-02	9.94382237e+00	3.47025232e+01	0.00000000e+00
7.15422568e+00	4.26253654e-03	2.17066827e-02	9.92553851e+00	3.56819236e+01	0.00000000e+00
7.35059546e+00	4.16210041e-03	2.11952184e-02	9.90732145e+00	3.66613240e+01	0.00000000e+00
