location_mm	Angle_mrad	Charge_pC	ChargeDen_pC/mrad
3.61241e+01	2.40827e+01	3.26047e+00	1.70587e+01
3.58374e+01	2.38916e+01	3.23261e+00	1.69129e+01
3.55507e+01	2.37004e+01	3.24623e+00	1.69842e+01
3.52640e+01	2.35093e+01	3.29816e+00	1.72559e+01
3.49773e+01	2.33182e+01	3.33344e+00	1.74405e+01
3.46906e+01	2.31270e+01	3.35245e+00	1.75399e+01
3.44039e+01	2.29359e+01	3.38450e+00	1.77076e+01
3.41172e+01	2.27448e+01	3.44270e+00	1.80121e+01
3.38305e+01	2.25536e+01	3.46468e+00	1.81271e+01
3.35438e+01	2.23625e+01	3.50235e+00	1.83242e+01
3.32571e+01	2.21714e+01	3.54390e+00	1.85416e+01
3.29704e+01	2.19802e+01	3.54674e+00	1.85565e+01
3.26837e+01	2.17891e+01	3.58092e+00	1.87353e+01
3.23970e+01	2.15980e+01	3.61048e+00	1.88899e+01
3.21103e+01	2.14069e+01	3.65145e+00	1.91043e+01
3.18236e+01	2.12157e+01	3.71053e+00	1.94134e+01
3.15369e+01	2.10246e+01	3.71960e+00	1.94608e+01
3.12502e+01	2.08335e+01	3.75178e+00	1.96292e+01
3.09635e+01	2.06423e+01	3.75783e+00	1.96608e+01
3.06768e+01	2.04512e+01	3.81348e+00	1.99520e+01
3.03901e+01	2.02601e+01	3.84986e+00	2.01424e+01
3.01034e+01	2.00689e+01	3.89641e+00	2.03859e+01
2.98167e+01	1.98778e+01	3.92840e+00	2.05532e+01
2.95300e+01	1.96867e+01	3.97960e+00	2.08212e+01
2.92433e+01	1.94955e+01	4.00882e+00	2.09740e+01
2.89566e+01	1.93044e+01	4.05808e+00	2.12317e+01
2.86699e+01	1.91133e+01	4.10803e+00	2.14931e+01
2.83832e+01	1.89221e+01	4.15107e+00	2.17183e+01
2.80965e+01	1.87310e+01	4.21729e+00	2.20648e+01
2.78098e+01	1.85399e+01	4.22689e+00	2.21150e+01
2.75231e+01	1.83487e+01	4.28472e+00	2.24175e+01
2.72364e+01	1.81576e+01	4.31733e+00	2.25881e+01
2.69497e+01	1.79665e+01	4.36695e+00	2.28477e+01
2.66630e+01	1.77753e+01	4.38157e+00	2.29242e+01
2.63763e+01	1.75842e+01	4.46666e+00	2.33694e+01
2.60896e+01	1.73931e+01	4.50959e+00	2.35940e+01
2.58029e+01	1.72019e+01	4.54996e+00	2.38053e+01
2.55162e+01	1.70108e+01	4.59125e+00	2.40213e+01
2.52295e+01	1.68197e+01	4.63470e+00	2.42486e+01
2.49428e+01	1.66285e+01	4.69626e+00	2.45707e+01
2.46561e+01	1.64374e+01	4.75774e+00	2.48924e+01
2.43694e+01	1.62463e+01	4.80095e+00	2.51184e+01
2.40827e+01	1.60551e+01	4.87799e+00	2.55215e+01
2.37960e+01	1.58640e+01	4.92504e+00	2.57676e+01
2.35093e+01	1.56729e+01	5.00077e+00	2.61639e+01
2.32226e+01	1.54817e+01	5.06523e+00	2.65011e+01
2.29359e+01	1.52906e+01	5.11779e+00	2.67761e+01
2.26492e+01	1.50995e+01	5.16268e+00	2.70110e+01
2.23625e+01	1.49083e+01	5.24764e+00	2.74555e+01
2.20758e+01	1.47172e+01	5.29622e+00	2.77097e+01
2.17891e+01	1.45261e+01	5.39898e+00	2.82473e+01
2.15024e+01	1.43349e+01	5.46290e+00	2.85817e+01
2.12157e+01	1.41438e+01	5.52938e+00	2.89296e+01
2.09290e+01	1.39527e+01	5.60612e+00	2.93311e+01
2.06423e+01	1.37615e+01	5.71001e+00	2.98746e+01
2.03556e+01	1.35704e+01	5.80133e+00	3.03524e+01
2.00689e+01	1.33793e+01	5.89205e+00	3.08270e+01
1.97822e+01	1.31881e+01	5.97673e+00	3.12701e+01
1.94955e+01	1.29970e+01	6.08488e+00	3.18359e+01
1.92088e+01	1.28059e+01	6.16578e+00	3.22592e+01
1.89221e+01	1.26148e+01	6.28767e+00	3.28969e+01
1.86354e+01	1.24236e+01	6.38785e+00	3.34211e+01
1.83487e+01	1.22325e+01	6.49337e+00	3.39731e+01
1.80620e+01	1.20414e+01	6.63040e+00	3.46900e+01
1.77753e+01	1.18502e+01	6.77348e+00	3.54386e+01
1.74886e+01	1.16591e+01	6.90000e+00	3.61006e+01
1.72019e+01	1.14680e+01	7.05160e+00	3.68937e+01
1.69152e+01	1.12768e+01	7.17025e+00	3.75146e+01
1.66285e+01	1.10857e+01	7.36207e+00	3.85181e+01
1.63418e+01	1.08946e+01	7.54330e+00	3.94663e+01
1.60551e+01	1.07034e+01	7.74901e+00	4.05426e+01
1.57684e+01	1.05123e+01	7.95555e+00	4.16232e+01
1.54817e+01	1.03212e+01	8.18981e+00	4.28488e+01
1.51950e+01	1.01300e+01	8.42602e+00	4.40847e+01
1.49083e+01	9.93890e+00	8.73401e+00	4.56961e+01
1.46216e+01	9.74776e+00	9.04851e+00	4.73415e+01
1.43349e+01	9.55663e+00	9.44336e+00	4.94074e+01
1.40482e+01	9.36550e+00	9.82465e+00	5.14023e+01
1.37615e+01	9.17436e+00	1.03228e+01	5.40087e+01
1.34748e+01	8.98323e+00	1.08377e+01	5.67026e+01
1.31881e+01	8.79210e+00	1.14204e+01	5.97511e+01
1.29015e+01	8.60097e+00	1.20761e+01	6.31819e+01
1.26148e+01	8.40983e+00	1.28409e+01	6.71832e+01
1.23281e+01	8.21870e+00	1.36229e+01	7.12745e+01
1.20414e+01	8.02757e+00	1.45381e+01	7.60631e+01
1.17547e+01	7.83644e+00	1.55263e+01	8.12330e+01
1.14680e+01	7.64530e+00	1.65332e+01	8.65012e+01
1.11813e+01	7.45417e+00	1.77123e+01	9.26703e+01
1.08946e+01	7.26304e+00	1.89617e+01	9.92073e+01
1.06079e+01	7.07191e+00	2.03345e+01	1.06389e+02
1.03212e+01	6.88077e+00	2.18011e+01	1.14063e+02
1.00345e+01	6.68964e+00	2.34285e+01	1.22577e+02
9.74776e+00	6.49851e+00	2.50586e+01	1.31106e+02
9.46106e+00	6.30738e+00	2.69735e+01	1.41125e+02
9.17436e+00	6.11624e+00	2.90512e+01	1.51995e+02
8.88767e+00	5.92511e+00	3.12682e+01	1.63594e+02
8.60097e+00	5.73398e+00	3.36822e+01	1.76224e+02
