scan	shotNumber	mgspcImgMissed	cam1_pC	cam2_pC	cam3_pC	cam4_pC
7.00000e+00	1.00000e+00	0.00000e+00	1.80056e+00	2.63431e-01	2.35519e-03	1.21200e-01
7.00000e+00	2.00000e+00	0.00000e+00	1.64570e-02	1.60042e-06	9.46540e-03	2.28821e-02
7.00000e+00	3.00000e+00	0.00000e+00	2.93247e+00	1.98082e-01	1.77305e-02	0.00000e+00
7.00000e+00	4.00000e+00	0.00000e+00	8.37978e+00	1.00051e+00	4.61515e-02	1.42231e-01
7.00000e+00	5.00000e+00	0.00000e+00	3.04998e+00	3.09855e-01	2.42131e-02	1.05630e-01
7.00000e+00	6.00000e+00	0.00000e+00	7.09491e+00	5.62255e-01	3.00604e-02	1.81577e-01
7.00000e+00	7.00000e+00	0.00000e+00	4.84692e+00	2.99248e-01	1.08009e-02	3.37330e-02
7.00000e+00	8.00000e+00	0.00000e+00	3.72437e+00	3.92590e-01	1.89454e-02	9.58764e-02
7.00000e+00	9.00000e+00	0.00000e+00	1.88870e-01	8.99408e-02	0.00000e+00	2.82872e-02
7.00000e+00	1.00000e+01	0.00000e+00	1.13297e+00	2.37133e-01	2.47942e-02	7.83043e-02
7.00000e+00	1.10000e+01	0.00000e+00	1.69609e+01	4.87768e+00	5.25871e-02	1.35562e-01
7.00000e+00	1.20000e+01	0.00000e+00	1.34813e+01	3.32079e+00	4.41019e-02	1.39848e-01
7.00000e+00	1.30000e+01	0.00000e+00	1.65341e+01	4.41159e+00	5.19776e-02	1.98428e-01
7.00000e+00	1.40000e+01	0.00000e+00	1.43972e+01	2.81530e+00	3.60296e-02	1.03596e-01
7.00000e+00	1.50000e+01	0.00000e+00	1.00994e+01	2.04523e+00	4.38833e-02	1.01761e-01
7.00000e+00	1.60000e+01	0.00000e+00	8.16404e+00	7.41657e-01	4.51302e-02	1.09263e-01
7.00000e+00	1.70000e+01	0.00000e+00	1.05844e+01	1.11250e+00	3.16199e-02	1.21181e-01
7.00000e+00	1.80000e+01	0.00000e+00	3.43714e+00	4.69432e-01	1.47933e-02	8.90460e-02
7.00000e+00	1.90000e+01	0.00000e+00	1.24620e+01	2.35560e+00	3.30850e-02	1.96338e-01
7.00000e+00	2.00000e+01	0.00000e+00	6.51295e+00	5.18878e-01	2.26994e-02	1.06842e-01
7.00000e+00	2.10000e+01	0.00000e+00	2.99966e+01	4.66396e+00	5.13807e-02	2.68381e-01
7.00000e+00	2.20000e+01	0.00000e+00	3.24300e+01	5.73678e+00	5.41765e-02	2.33879e-01
7.00000e+00	2.30000e+01	0.00000e+00	1.94778e+01	5.92670e+00	5.12232e-02	2.44840e-01
7.00000e+00	2.40000e+01	0.00000e+00	2.05796e+01	5.79720e+00	5.84666e-02	1.71651e-01
7.00000e+00	2.50000e+01	0.00000e+00	2.07580e+01	4.82971e+00	3.60542e-02	2.07259e-01
7.00000e+00	2.60000e+01	0.00000e+00	2.93292e+01	8.49548e+00	6.37371e-02	1.82790e-01
7.00000e+00	2.70000e+01	0.00000e+00	2.21177e+01	3.54164e+00	4.35008e-02	1.00835e-01
7.00000e+00	2.80000e+01	0.00000e+00	1.48487e+01	5.03251e+00	7.73407e-02	2.05671e-01
7.00000e+00	2.90000e+01	0.00000e+00	3.21418e+01	5.37749e+00	8.68132e-02	2.27864e-01
7.00000e+00	3.00000e+01	0.00000e+00	2.26624e+01	6.04510e+00	5.95035e-02	1.83229e-01
7.00000e+00	3.10000e+01	0.00000e+00	3.32907e+01	3.03771e+00	5.60638e-02	1.70438e-01
7.00000e+00	3.20000e+01	0.00000e+00	3.84641e+01	5.32366e+00	9.10469e-02	2.70277e-01
7.00000e+00	3.30000e+01	0.00000e+00	3.24156e+01	3.32050e+00	7.51100e-02	2.12628e-01
7.00000e+00	3.40000e+01	0.00000e+00	2.68188e+01	3.92337e+00	6.98141e-02	1.79817e-01
7.00000e+00	3.50000e+01	0.00000e+00	3.65523e+01	4.32738e+00	6.57314e-02	1.62787e-01
7.00000e+00	3.60000e+01	0.00000e+00	3.74490e+01	4.16344e+00	5.77128e-02	2.31322e-01
7.00000e+00	3.70000e+01	0.00000e+00	2.03162e+01	4.54906e+00	6.55837e-02	1.44746e-01
7.00000e+00	3.80000e+01	0.00000e+00	2.75387e+01	5.58408e+00	7.75640e-02	2.10017e-01
7.00000e+00	3.90000e+01	0.00000e+00	4.14713e+01	6.22245e+00	1.17061e-01	2.68106e-01
7.00000e+00	4.00000e+01	0.00000e+00	2.10535e+01	5.74705e+00	6.40108e-02	1.73241e-01
7.00000e+00	4.10000e+01	0.00000e+00	3.52980e+01	4.33118e+00	7.82091e-02	2.09527e-01
7.00000e+00	4.20000e+01	0.00000e+00	3.45871e+01	4.40476e+00	7.17040e-02	2.34500e-01
7.00000e+00	4.30000e+01	0.00000e+00	3.32914e+01	7.83051e+00	7.15878e-02	2.00290e-01
7.00000e+00	4.40000e+01	0.00000e+00	4.57340e+01	7.35166e+00	6.01742e-02	3.01702e-01
7.00000e+00	4.50000e+01	0.00000e+00	4.67209e+01	6.33860e+00	9.07832e-02	4.13890e-01
7.00000e+00	4.60000e+01	0.00000e+00	4.53136e+01	6.22287e+00	1.04637e-01	4.21993e-01
7.00000e+00	4.70000e+01	0.00000e+00	4.16251e+01	5.24217e+00	6.27324e-02	3.14935e-01
7.00000e+00	4.80000e+01	0.00000e+00	2.48429e+01	5.76959e+00	5.76419e-02	1.69164e-01
7.00000e+00	4.90000e+01	0.00000e+00	4.28695e+01	5.65053e+00	8.15597e-02	2.56985e-01
7.00000e+00	5.00000e+01	0.00000e+00	3.67784e+01	5.41625e+00	7.31100e-02	2.23556e-01
7.00000e+00	5.10000e+01	0.00000e+00	4.12425e+01	1.06801e+01	7.13132e-02	2.92304e-01
7.00000e+00	5.20000e+01	0.00000e+00	4.74466e+01	1.45202e+01	1.41420e-01	4.43511e-01
7.00000e+00	5.30000e+01	0.00000e+00	4.36248e+01	1.28706e+01	1.23680e-01	4.32760e-01
7.00000e+00	5.40000e+01	0.00000e+00	3.93998e+01	4.55283e+00	5.43398e-02	2.19483e-01
7.00000e+00	5.50000e+01	0.00000e+00	4.22141e+01	1.26320e+01	9.60637e-02	4.27641e-01
7.00000e+00	5.60000e+01	0.00000e+00	3.93180e+01	6.28033e+00	5.81524e-02	2.35084e-01
7.00000e+00	5.70000e+01	0.00000e+00	3.96033e+01	5.50390e+00	7.09886e-02	3.69697e-01
7.00000e+00	5.80000e+01	0.00000e+00	3.79751e+01	1.71572e+01	1.20032e-01	3.93935e-01
7.00000e+00	5.90000e+01	0.00000e+00	3.56888e+01	1.04854e+01	1.12867e-01	4.88683e-01
