Angle_mrad	Charge_pC	ChargeDen_pC/mrad
-1.11503e+01	0.00000e+00	0.00000e+00
-1.09759e+01	8.79910e-05	5.04465e-04
-1.08014e+01	3.33480e-04	1.91189e-03
-1.06270e+01	1.49812e-04	8.58894e-04
-1.04526e+01	1.95353e-04	1.11998e-03
-1.02782e+01	3.92422e-04	2.24981e-03
-1.01037e+01	6.91615e-04	3.96512e-03
-9.92932e+00	5.57341e-04	3.19531e-03
-9.75489e+00	6.10079e-04	3.49767e-03
-9.58047e+00	7.30738e-04	4.18942e-03
-9.40605e+00	7.23248e-04	4.14648e-03
-9.23162e+00	8.93763e-04	5.12407e-03
-9.05720e+00	9.96174e-04	5.71120e-03
-8.88277e+00	1.01986e-03	5.84702e-03
-8.70835e+00	3.88979e-03	2.23007e-02
-8.53392e+00	4.09730e-03	2.34904e-02
-8.35950e+00	5.42406e-03	3.10969e-02
-8.18507e+00	1.02863e-02	5.89727e-02
-8.01065e+00	1.88351e-02	1.07984e-01
-7.83622e+00	2.07516e-02	1.18972e-01
-7.66180e+00	2.56661e-02	1.47148e-01
-7.48737e+00	2.47925e-02	1.42139e-01
-7.31295e+00	2.59899e-02	1.49004e-01
-7.13853e+00	2.79546e-02	1.60267e-01
-6.96410e+00	2.88143e-02	1.65196e-01
-6.78968e+00	2.91446e-02	1.67090e-01
-6.61525e+00	2.88468e-02	1.65383e-01
-6.44083e+00	2.86310e-02	1.64145e-01
-6.26640e+00	3.14875e-02	1.80522e-01
-6.09198e+00	3.69695e-02	2.11951e-01
-5.91755e+00	3.61638e-02	2.07332e-01
-5.74313e+00	3.40612e-02	1.95278e-01
-5.56870e+00	3.18493e-02	1.82597e-01
-5.39428e+00	3.59715e-02	2.06229e-01
-5.21986e+00	3.81492e-02	2.18715e-01
-5.04543e+00	3.92154e-02	2.24827e-01
-4.87101e+00	3.83732e-02	2.19999e-01
-4.69658e+00	4.30496e-02	2.46809e-01
-4.52216e+00	4.13199e-02	2.36893e-01
-4.34773e+00	4.12389e-02	2.36429e-01
-4.17331e+00	4.05565e-02	2.32516e-01
-3.99888e+00	3.69550e-02	2.11868e-01
-3.82446e+00	3.42582e-02	1.96407e-01
-3.65003e+00	3.52594e-02	2.02147e-01
-3.47561e+00	3.46816e-02	1.98834e-01
-3.30118e+00	3.46647e-02	1.98738e-01
-3.12676e+00	3.71199e-02	2.12813e-01
-2.95234e+00	3.45374e-02	1.98008e-01
-2.77791e+00	3.52404e-02	2.02038e-01
-2.60349e+00	3.51712e-02	2.01641e-01
-2.42906e+00	3.23943e-02	1.85721e-01
-2.25464e+00	3.03273e-02	1.73871e-01
-2.08021e+00	2.70714e-02	1.55204e-01
-1.90579e+00	2.80183e-02	1.60633e-01
-1.73136e+00	2.59013e-02	1.48496e-01
-1.55694e+00	2.66722e-02	1.52915e-01
-1.38251e+00	2.25390e-02	1.29219e-01
-1.20809e+00	2.50099e-02	1.43385e-01
-1.03366e+00	2.51083e-02	1.43949e-01
-8.59240e-01	2.58593e-02	1.48255e-01
-6.84815e-01	2.45109e-02	1.40524e-01
-5.10391e-01	2.66371e-02	1.52714e-01
-3.35966e-01	2.47750e-02	1.42038e-01
-1.61542e-01	2.40525e-02	1.37897e-01
1.28831e-02	2.49056e-02	1.42787e-01
1.87308e-01	2.27490e-02	1.30423e-01
3.61732e-01	2.25401e-02	1.29225e-01
5.36157e-01	2.18616e-02	1.25335e-01
7.10581e-01	2.21089e-02	1.26753e-01
8.85006e-01	2.26550e-02	1.29884e-01
1.05943e+00	2.21165e-02	1.26797e-01
1.23386e+00	2.20958e-02	1.26678e-01
1.40828e+00	2.10707e-02	1.20801e-01
1.58270e+00	1.86848e-02	1.07123e-01
1.75713e+00	2.04965e-02	1.17509e-01
1.93155e+00	2.12930e-02	1.22076e-01
2.10598e+00	1.95923e-02	1.12325e-01
2.28040e+00	1.87169e-02	1.07306e-01
2.45483e+00	1.68400e-02	9.65462e-02
2.62925e+00	1.82291e-02	1.04510e-01
2.80368e+00	1.69067e-02	9.69287e-02
2.97810e+00	1.60014e-02	9.17381e-02
3.15253e+00	1.69673e-02	9.72756e-02
3.32695e+00	1.72843e-02	9.90930e-02
3.50138e+00	1.75022e-02	1.00342e-01
3.67580e+00	1.82234e-02	1.04477e-01
3.85022e+00	1.64698e-02	9.44236e-02
4.02465e+00	1.55511e-02	8.91565e-02
4.19907e+00	1.78797e-02	1.02507e-01
4.37350e+00	1.64288e-02	9.41886e-02
4.54792e+00	1.32296e-02	7.58471e-02
4.72235e+00	1.06370e-02	6.09833e-02
4.89677e+00	8.65207e-03	4.96035e-02
5.07120e+00	8.97927e-03	5.14794e-02
5.24562e+00	8.85827e-03	5.07857e-02
5.42005e+00	8.55690e-03	4.90578e-02
5.59447e+00	1.17754e-02	6.75100e-02
5.76890e+00	1.09781e-02	6.29389e-02
5.94332e+00	9.95241e-03	5.70585e-02
6.11774e+00	9.66855e-03	5.54311e-02
6.29217e+00	9.21442e-03	5.28275e-02
6.46659e+00	8.58523e-03	4.92203e-02
6.64102e+00	8.09010e-03	4.63817e-02
6.81544e+00	8.42618e-03	4.83084e-02
6.98987e+00	8.09382e-03	4.64030e-02
7.16429e+00	7.74465e-03	4.44011e-02
7.33872e+00	8.46385e-03	4.85244e-02
7.51314e+00	8.56803e-03	4.91217e-02
7.68757e+00	7.70329e-03	4.41640e-02
7.86199e+00	8.37388e-03	4.80086e-02
8.03641e+00	5.47996e-03	3.14173e-02
8.21084e+00	4.50310e-03	2.58169e-02
8.38526e+00	3.74248e-03	2.14562e-02
8.55969e+00	3.05488e-03	1.75140e-02
8.73411e+00	1.12220e-03	6.43373e-03
8.90854e+00	1.00758e-03	5.77659e-03
9.08296e+00	1.05015e-03	6.02065e-03
9.25739e+00	8.89759e-04	5.10111e-03
9.43181e+00	8.26324e-04	4.73743e-03
9.60624e+00	6.58626e-04	3.77599e-03
9.78066e+00	7.40997e-04	4.24824e-03
9.95509e+00	9.34909e-04	5.35996e-03
1.01295e+01	6.80034e-04	3.89873e-03
1.03039e+01	4.10196e-04	2.35171e-03
1.04784e+01	4.13245e-04	2.36919e-03
1.06528e+01	1.83063e-04	1.04953e-03
1.08272e+01	7.26283e-06	4.16388e-05
1.10016e+01	0.00000e+00	0.00000e+00
