Momentum_MeV/c	Charge_pC	ChargeDen_pC/MeV/c	acepAngle_mrad	NrmMmt_MeV/c/T	gap Mmt_MeV/c
1.45950202e+00	0.00000000e+00	0.00000000e+00	1.06799488e+01	7.27931182e+00	3.30451287e+01
1.65587180e+00	8.51715337e-04	4.33730349e-03	1.06149303e+01	8.25871223e+00	0.00000000e+00
1.85224158e+00	6.51883128e-04	3.31967130e-03	1.05599162e+01	9.23811263e+00	0.00000000e+00
2.04861136e+00	6.35349427e-04	3.23547454e-03	1.05126454e+01	1.02175130e+01	0.00000000e+00
2.24498115e+00	4.45584025e-04	2.26910690e-03	1.04703948e+01	1.11969134e+01	0.00000000e+00
2.44135093e+00	2.97535847e-04	1.51518143e-03	1.04333619e+01	1.21763138e+01	0.00000000e+00
2.63772071e+00	2.43301072e-04	1.23899446e-03	1.04004239e+01	1.31557143e+01	0.00000000e+00
2.83409049e+00	1.96472806e-04	1.00052465e-03	1.03701114e+01	1.41351147e+01	0.00000000e+00
3.03046027e+00	2.17831120e-04	1.10929043e-03	1.03440075e+01	1.51145151e+01	0.00000000e+00
3.22683005e+00	2.75855675e-04	1.40477661e-03	1.03183349e+01	1.60939155e+01	0.00000000e+00
3.42319983e+00	2.38349738e-04	1.21378013e-03	1.02942357e+01	1.70733159e+01	0.00000000e+00
3.61956961e+00	3.65021016e-04	1.85884515e-03	1.02719872e+01	1.80527163e+01	0.00000000e+00
3.81593940e+00	1.99634265e-04	1.01662417e-03	1.02502752e+01	1.90321167e+01	0.00000000e+00
4.01230918e+00	2.36006911e-04	1.20184944e-03	1.02290702e+01	2.00115171e+01	0.00000000e+00
4.20867896e+00	1.08366025e-04	5.51846748e-04	1.02083931e+01	2.09909175e+01	0.00000000e+00
4.40504874e+00	3.41453206e-04	1.73882765e-03	1.01886814e+01	2.19703179e+01	0.00000000e+00
4.60141852e+00	3.48091519e-04	1.77263282e-03	1.01686371e+01	2.29497183e+01	0.00000000e+00
4.79778830e+00	3.52724502e-04	1.79622598e-03	1.01494575e+01	2.39291187e+01	0.00000000e+00
4.99415808e+00	2.80879770e-04	1.43036148e-03	1.01300338e+01	2.49085191e+01	0.00000000e+00
5.19052786e+00	3.27738180e-04	1.66898480e-03	1.01110003e+01	2.58879195e+01	0.00000000e+00
5.38689765e+00	3.76034057e-04	1.91492833e-03	1.00921026e+01	2.68673199e+01	0.00000000e+00
5.58326743e+00	3.93678368e-04	2.00478080e-03	1.00732368e+01	2.78467203e+01	0.00000000e+00
5.77963721e+00	3.37846006e-04	1.72045823e-03	1.00546313e+01	2.88261207e+01	0.00000000e+00
5.97600699e+00	3.78108226e-04	1.92549089e-03	1.00362827e+01	2.98055211e+01	0.00000000e+00
6.17237677e+00	4.33720305e-04	2.20869169e-03	1.00176364e+01	3.07849216e+01	0.00000000e+00
6.36874655e+00	3.52591230e-04	1.79554730e-03	9.99907972e+00	3.17643220e+01	0.00000000e+00
6.56511633e+00	2.86802951e-04	1.46052488e-03	9.98059139e+00	3.27437224e+01	0.00000000e+00
6.76148612e+00	3.58394134e-04	1.82509820e-03	9.96217199e+00	3.37231228e+01	0.00000000e+00
6.95785590e+00	2.53055882e-04	1.28867018e-03	9.94382237e+00	3.47025232e+01	0.00000000e+00
7.15422568e+00	2.63508050e-04	1.34189715e-03	9.92553851e+00	3.56819236e+01	0.00000000e+00
7.35059546e+00	2.10213631e-04	1.07049888e-03	9.90732145e+00	3.66613240e+01	0.00000000e+00
7.54696524e+00	2.19014937e-04	1.11531894e-03	9.88905383e+00	3.76407244e+01	0.00000000e+00
