shotnumber	VL-charge_pC	VL-10 mrad charge_pC	VL-roi charge_pC	VL-peak angle x_mrad	VL-peak angle y_mrad	VL-fwhm angle x_mrad	VL-fwhm angle y_mrad
1.00000e+00	2.23819e+01	8.70121e+00	4.07172e-02	1.20084e+01	2.48472e+00	4.39605e+00	3.44039e+00
2.00000e+00	8.02644e-01	3.86135e-01	4.77370e-04	1.06705e+01	2.67586e+00	0.00000e+00	0.00000e+00
3.00000e+00	1.95743e+01	6.28057e+00	2.19597e-02	1.08616e+01	4.58718e+00	3.82265e+00	3.05812e+00
4.00000e+00	4.47478e+01	2.61589e+01	2.31632e-01	1.10527e+01	2.86699e+00	7.07191e+00	3.24925e+00
5.00000e+00	2.64326e+01	9.34991e+00	4.84941e-02	1.16261e+01	3.44039e+00	4.39605e+00	3.44039e+00
6.00000e+00	4.24361e+01	2.12962e+01	1.50931e-01	1.18172e+01	1.52906e+00	5.73398e+00	2.67586e+00
7.00000e+00	2.27840e+01	1.08474e+01	4.32581e-02	1.12438e+01	3.05812e+00	4.39605e+00	3.63152e+00
8.00000e+00	3.44128e+01	1.48458e+01	9.50799e-02	1.21995e+01	9.55663e-01	5.35171e+00	4.01378e+00
9.00000e+00	1.47999e+01	2.76533e+00	2.06812e-02	1.75512e+01	-5.73398e-01	1.12768e+01	8.40983e+00
1.00000e+01	2.59069e+01	8.57032e+00	5.26041e-02	1.20084e+01	-1.72019e+00	6.49851e+00	6.30738e+00
1.10000e+01	6.68069e+01	5.00394e+01	6.66474e-01	7.99459e+00	1.72019e+00	8.21870e+00	4.58718e+00
1.20000e+01	5.01351e+01	4.09752e+01	6.58277e-01	6.46553e+00	1.52906e+00	8.02757e+00	5.16058e+00
1.30000e+01	6.55018e+01	5.04862e+01	7.24066e-01	7.42120e+00	1.52906e+00	7.64530e+00	4.39605e+00
1.40000e+01	5.45403e+01	4.63934e+01	5.49515e-01	4.93647e+00	3.44039e+00	6.88077e+00	3.63152e+00
1.50000e+01	4.09086e+01	3.17343e+01	4.76052e-01	7.61233e+00	3.24925e+00	7.07191e+00	6.30738e+00
1.60000e+01	3.58919e+01	2.32472e+01	1.87900e-01	1.10527e+01	1.72019e+00	7.64530e+00	3.24925e+00
1.70000e+01	3.91635e+01	3.15343e+01	4.66807e-01	7.42120e+00	2.86699e+00	7.83644e+00	4.20492e+00
1.80000e+01	2.79597e+01	1.27841e+01	8.69992e-02	1.08616e+01	2.48472e+00	5.54285e+00	4.20492e+00
1.90000e+01	5.79516e+01	3.77903e+01	3.86670e-01	1.06705e+01	1.72019e+00	7.64530e+00	4.20492e+00
2.00000e+01	3.19074e+01	1.64535e+01	1.08676e-01	1.06705e+01	3.44039e+00	5.35171e+00	3.44039e+00
2.10000e+01	8.67691e+01	5.97020e+01	6.89135e-01	5.89214e+00	2.10246e+00	1.05123e+01	6.30738e+00
2.20000e+01	9.80931e+01	6.87617e+01	6.78412e-01	6.08327e+00	1.52906e+00	9.55663e+00	6.30738e+00
2.30000e+01	6.94872e+01	5.25517e+01	7.14976e-01	6.65667e+00	1.52906e+00	8.40983e+00	6.68964e+00
2.40000e+01	7.13914e+01	5.26280e+01	6.91147e-01	6.65667e+00	2.10246e+00	6.68964e+00	6.49851e+00
2.50000e+01	6.71379e+01	5.04165e+01	6.55852e-01	6.27440e+00	1.14680e+00	8.60097e+00	7.07191e+00
2.60000e+01	9.42771e+01	6.47684e+01	6.21636e-01	5.70100e+00	2.86699e+00	7.83644e+00	6.49851e+00
2.70000e+01	7.58355e+01	4.92383e+01	5.17158e-01	6.08327e+00	3.44039e+00	8.40983e+00	7.26304e+00
2.80000e+01	5.92073e+01	4.30719e+01	5.30494e-01	5.89214e+00	3.44039e+00	6.30738e+00	6.68964e+00
2.90000e+01	9.57330e+01	7.05477e+01	7.33929e-01	3.78968e+00	2.48472e+00	7.83644e+00	5.92511e+00
3.00000e+01	7.89786e+01	6.09854e+01	8.05477e-01	4.36308e+00	1.91133e+00	7.83644e+00	6.11624e+00
3.10000e+01	8.96494e+01	6.19366e+01	5.80121e-01	4.55421e+00	2.10246e+00	1.01300e+01	5.92511e+00
3.20000e+01	1.08624e+02	7.34109e+01	7.74030e-01	1.87835e+00	1.14680e+00	1.22325e+01	5.54285e+00
3.30000e+01	9.10952e+01	6.39286e+01	7.15143e-01	2.06948e+00	1.72019e+00	1.05123e+01	5.73398e+00
3.40000e+01	7.64282e+01	5.48423e+01	7.29417e-01	5.50987e+00	1.72019e+00	1.10857e+01	6.11624e+00
3.50000e+01	1.01377e+02	7.03109e+01	8.26328e-01	3.21628e+00	1.33793e+00	1.20414e+01	5.54285e+00
3.60000e+01	9.60883e+01	6.86922e+01	6.78822e-01	2.64288e+00	1.91133e+00	1.01300e+01	5.92511e+00
3.70000e+01	5.84795e+01	4.63236e+01	8.69084e-01	5.70100e+00	1.91133e+00	7.64530e+00	8.40983e+00
3.80000e+01	8.28645e+01	5.46519e+01	7.03940e-01	7.23006e+00	1.52906e+00	7.83644e+00	7.45417e+00
3.90000e+01	1.15692e+02	7.99357e+01	9.66392e-01	4.17194e+00	9.55663e-01	1.12768e+01	5.35171e+00
4.00000e+01	6.84896e+01	5.27192e+01	9.68451e-01	4.17194e+00	1.72019e+00	8.40983e+00	7.83644e+00
4.10000e+01	9.33769e+01	6.62019e+01	7.60220e-01	3.21628e+00	1.91133e+00	9.74776e+00	6.68964e+00
4.20000e+01	9.69623e+01	6.74887e+01	8.87723e-01	3.78968e+00	1.72019e+00	9.55663e+00	7.07191e+00
4.30000e+01	1.02951e+02	7.18897e+01	8.44646e-01	1.87835e+00	1.14680e+00	1.07034e+01	5.92511e+00
4.40000e+01	1.19215e+02	8.56137e+01	9.70241e-01	1.30495e+00	1.14680e+00	1.01300e+01	5.73398e+00
4.50000e+01	1.43043e+02	9.41300e+01	1.39132e+00	-6.06372e-01	5.73398e-01	1.16591e+01	5.92511e+00
4.60000e+01	1.37091e+02	9.22594e+01	1.54525e+00	3.98081e+00	-0.00000e+00	1.22325e+01	5.73398e+00
4.70000e+01	1.19252e+02	8.30384e+01	1.77496e+00	1.49609e+00	-9.55663e-01	1.14680e+01	5.54285e+00
4.80000e+01	7.39228e+01	5.55533e+01	7.41789e-01	6.27440e+00	1.33793e+00	8.60097e+00	7.07191e+00
4.90000e+01	1.09832e+02	7.75776e+01	7.02907e-01	2.26062e+00	2.10246e+00	9.93890e+00	5.16058e+00
5.00000e+01	9.74393e+01	7.18680e+01	1.07732e+00	1.87835e+00	5.73398e-01	1.01300e+01	5.92511e+00
5.10000e+01	1.30243e+02	9.29312e+01	2.17632e+00	3.59855e+00	-3.82265e-01	1.29970e+01	6.30738e+00
5.20000e+01	1.63028e+02	1.14920e+02	3.43175e+00	3.78968e+00	-1.33793e+00	1.28059e+01	7.07191e+00
5.30000e+01	1.43236e+02	1.01492e+02	2.40276e+00	1.30495e+00	-7.64530e-01	1.22325e+01	6.49851e+00
5.40000e+01	1.02086e+02	7.33774e+01	8.93467e-01	3.02515e+00	1.14680e+00	1.14680e+01	5.92511e+00
5.50000e+01	1.51841e+02	1.03064e+02	2.05959e+00	3.78968e+00	-0.00000e+00	1.29970e+01	6.49851e+00
5.60000e+01	1.11635e+02	7.98419e+01	1.29398e+00	3.21628e+00	-0.00000e+00	1.18502e+01	6.11624e+00
5.70000e+01	1.22389e+02	8.32521e+01	1.44433e+00	2.26062e+00	-0.00000e+00	1.26148e+01	6.11624e+00
5.80000e+01	1.47534e+02	1.04428e+02	2.38014e+00	3.40741e+00	-3.82265e-01	1.26148e+01	7.07191e+00
5.90000e+01	1.33698e+02	9.42935e+01	2.15547e+00	-1.94430e+00	3.82265e-01	1.33793e+01	7.45417e+00
6.00000e+01	1.06627e+02	7.49386e+01	1.16523e+00	1.87835e+00	7.64530e-01	1.26148e+01	6.88077e+00
6.10000e+01	1.33494e+02	9.49014e+01	3.23833e+00	-1.56203e+00	-2.29359e+00	1.24236e+01	8.79210e+00
6.20000e+01	1.52629e+02	1.02762e+02	3.21496e+00	-4.15239e-01	-1.33793e+00	1.16591e+01	6.88077e+00
6.30000e+01	1.48486e+02	1.00457e+02	4.31569e+00	-1.37090e+00	-2.67586e+00	1.20414e+01	6.49851e+00
6.40000e+01	1.34461e+02	9.21189e+01	2.20465e+00	3.49291e-01	-1.91133e+00	1.24236e+01	6.88077e+00
6.50000e+01	1.37631e+02	9.61646e+01	3.00319e+00	2.06948e+00	-1.52906e+00	1.26148e+01	6.68964e+00
6.60000e+01	1.64670e+02	1.16594e+02	4.15773e+00	4.17194e+00	-2.48472e+00	1.37615e+01	7.26304e+00
6.70000e+01	1.15646e+02	8.48084e+01	2.53894e+00	1.30495e+00	-1.52906e+00	1.31881e+01	6.11624e+00
6.80000e+01	1.03506e+02	7.94525e+01	3.46045e+00	2.45175e+00	-2.86699e+00	1.29970e+01	6.49851e+00
6.90000e+01	1.48149e+02	1.06063e+02	4.04821e+00	3.40741e+00	-3.24925e+00	1.45261e+01	8.02757e+00
7.00000e+01	1.21831e+02	9.19909e+01	3.29467e+00	3.21628e+00	-2.10246e+00	1.31881e+01	6.49851e+00
7.10000e+01	1.46177e+02	1.06468e+02	3.90840e+00	1.68722e+00	-3.05812e+00	1.43349e+01	7.64530e+00
7.20000e+01	1.57951e+02	1.10274e+02	3.47963e+00	3.78968e+00	-2.10246e+00	1.49083e+01	7.45417e+00
7.30000e+01	1.70814e+02	1.17114e+02	3.53978e+00	7.03893e+00	-2.67586e+00	1.43349e+01	8.60097e+00
7.40000e+01	1.49539e+02	1.04293e+02	3.34457e+00	4.36308e+00	-1.91133e+00	1.22325e+01	8.02757e+00
7.50000e+01	1.65302e+02	1.10075e+02	3.56330e+00	4.17194e+00	-2.48472e+00	1.41438e+01	6.68964e+00
7.60000e+01	1.82161e+02	1.18646e+02	3.06000e+00	2.83401e+00	-1.52906e+00	1.43349e+01	6.11624e+00
7.70000e+01	1.84156e+02	1.20951e+02	3.01464e+00	4.93647e+00	-1.52906e+00	1.37615e+01	6.49851e+00
7.80000e+01	1.68951e+02	1.15249e+02	3.72274e+00	1.87835e+00	-1.91133e+00	1.29970e+01	6.88077e+00
7.90000e+01	1.36385e+02	9.51882e+01	3.25848e+00	4.17194e+00	-2.67586e+00	1.49083e+01	7.26304e+00
8.00000e+01	1.72621e+02	1.09932e+02	2.83915e+00	-7.97505e-01	-9.55663e-01	1.50995e+01	7.26304e+00
8.10000e+01	1.72540e+02	1.08925e+02	4.32264e+00	2.06948e+00	-3.63152e+00	1.41438e+01	6.88077e+00
8.20000e+01	1.66981e+02	1.03406e+02	4.34376e+00	1.30495e+00	-3.44039e+00	1.29970e+01	6.11624e+00
8.30000e+01	1.64917e+02	1.04572e+02	4.22806e+00	9.22689e-01	-3.63152e+00	1.39527e+01	6.30738e+00
8.40000e+01	1.65555e+02	1.07005e+02	4.54604e+00	2.06948e+00	-3.82265e+00	1.37615e+01	6.30738e+00
8.50000e+01	1.66048e+02	1.06094e+02	4.28316e+00	1.11382e+00	-3.63152e+00	1.31881e+01	5.92511e+00
8.60000e+01	1.24040e+02	8.64201e+01	3.64962e+00	1.68722e+00	-3.63152e+00	1.35704e+01	7.07191e+00
8.70000e+01	1.60824e+02	1.05528e+02	4.06494e+00	5.40424e-01	-3.82265e+00	1.45261e+01	7.07191e+00
8.80000e+01	1.60734e+02	1.03979e+02	3.36805e+00	3.49291e-01	-2.48472e+00	1.45261e+01	6.30738e+00
8.90000e+01	1.48180e+02	9.76166e+01	3.52378e+00	3.21628e+00	-2.86699e+00	1.35704e+01	6.30738e+00
9.00000e+01	1.35830e+02	9.55322e+01	3.43146e+00	3.21628e+00	-2.48472e+00	1.39527e+01	6.88077e+00
9.10000e+01	1.56572e+02	1.02742e+02	3.68187e+00	2.06948e+00	-3.24925e+00	1.50995e+01	8.40983e+00
9.20000e+01	1.64621e+02	1.01150e+02	3.50711e+00	3.78968e+00	-3.24925e+00	1.54817e+01	6.68964e+00
9.30000e+01	1.78355e+02	1.10138e+02	4.22604e+00	3.98081e+00	-3.63152e+00	1.41438e+01	6.68964e+00
9.40000e+01	1.70458e+02	1.07461e+02	3.46329e+00	3.98081e+00	-2.86699e+00	1.43349e+01	7.83644e+00
9.50000e+01	1.50999e+02	9.70717e+01	3.31494e+00	2.64288e+00	-4.01378e+00	1.35704e+01	9.17436e+00
9.60000e+01	1.72206e+02	1.08698e+02	4.17195e+00	2.83401e+00	-3.24925e+00	1.41438e+01	6.68964e+00
9.70000e+01	1.60538e+02	1.03900e+02	4.12779e+00	2.45175e+00	-3.44039e+00	1.45261e+01	6.30738e+00
9.80000e+01	1.49797e+02	8.94877e+01	3.46595e+00	-9.88637e-01	-3.82265e+00	1.52906e+01	6.11624e+00
9.90000e+01	1.28311e+02	8.51050e+01	3.39240e+00	1.68722e+00	-4.39605e+00	1.35704e+01	7.45417e+00
1.00000e+02	1.49616e+02	9.56877e+01	3.37299e+00	1.58158e-01	-6.11624e+00	1.24236e+01	8.40983e+00
1.01000e+02	1.51978e+02	9.45281e+01	3.36512e+00	2.06948e+00	-4.58718e+00	1.22325e+01	1.01300e+01
1.02000e+02	1.60668e+02	9.79300e+01	3.50033e+00	1.68722e+00	-3.44039e+00	1.35704e+01	9.17436e+00
1.03000e+02	1.60612e+02	9.86767e+01	3.74694e+00	3.78968e+00	-5.16058e+00	1.39527e+01	8.21870e+00
1.04000e+02	1.57770e+02	9.62106e+01	3.64731e+00	3.78968e+00	-5.92511e+00	1.24236e+01	8.79210e+00
1.05000e+02	1.45738e+02	8.52246e+01	3.18536e+00	5.31874e+00	-5.35171e+00	1.37615e+01	8.60097e+00
1.06000e+02	1.71769e+02	9.88434e+01	3.79127e+00	5.89214e+00	-4.39605e+00	1.24236e+01	7.07191e+00
1.07000e+02	1.46586e+02	9.03340e+01	3.81603e+00	3.59855e+00	-4.96945e+00	1.29970e+01	7.83644e+00
1.08000e+02	1.32529e+02	7.99969e+01	3.42084e+00	3.78968e+00	-5.92511e+00	1.28059e+01	6.30738e+00
