location_mm	Angle_mrad	Charge_pC	ChargeDen_pC/mrad
-3.04395e+01	-2.02930e+01	1.55088e+01	8.11414e+01
-3.01528e+01	-2.01019e+01	1.56232e+01	8.17399e+01
-2.98661e+01	-1.99108e+01	1.57113e+01	8.22009e+01
-2.95794e+01	-1.97196e+01	1.58818e+01	8.30933e+01
-2.92927e+01	-1.95285e+01	1.60375e+01	8.39077e+01
-2.90060e+01	-1.93374e+01	1.62443e+01	8.49898e+01
-2.87194e+01	-1.91462e+01	1.63942e+01	8.57738e+01
-2.84327e+01	-1.89551e+01	1.64886e+01	8.62676e+01
-2.81460e+01	-1.87640e+01	1.66850e+01	8.72953e+01
-2.78593e+01	-1.85728e+01	1.69203e+01	8.85266e+01
-2.75726e+01	-1.83817e+01	1.70863e+01	8.93950e+01
-2.72859e+01	-1.81906e+01	1.72737e+01	9.03756e+01
-2.69992e+01	-1.79994e+01	1.74903e+01	9.15089e+01
-2.67125e+01	-1.78083e+01	1.76862e+01	9.25336e+01
-2.64258e+01	-1.76172e+01	1.79132e+01	9.37212e+01
-2.61391e+01	-1.74260e+01	1.80828e+01	9.46087e+01
-2.58524e+01	-1.72349e+01	1.83291e+01	9.58975e+01
-2.55657e+01	-1.70438e+01	1.85425e+01	9.70136e+01
-2.52790e+01	-1.68526e+01	1.87882e+01	9.82994e+01
-2.49923e+01	-1.66615e+01	1.90402e+01	9.96179e+01
-2.47056e+01	-1.64704e+01	1.93149e+01	1.01055e+02
-2.44189e+01	-1.62792e+01	1.96004e+01	1.02549e+02
-2.41322e+01	-1.60881e+01	1.98723e+01	1.03971e+02
-2.38455e+01	-1.58970e+01	2.01689e+01	1.05523e+02
-2.35588e+01	-1.57058e+01	2.05353e+01	1.07440e+02
-2.32721e+01	-1.55147e+01	2.08368e+01	1.09018e+02
-2.29854e+01	-1.53236e+01	2.11148e+01	1.10472e+02
-2.26987e+01	-1.51324e+01	2.14528e+01	1.12240e+02
-2.24120e+01	-1.49413e+01	2.18013e+01	1.14064e+02
-2.21253e+01	-1.47502e+01	2.21758e+01	1.16023e+02
-2.18386e+01	-1.45591e+01	2.25361e+01	1.17908e+02
-2.15519e+01	-1.43679e+01	2.28849e+01	1.19733e+02
-2.12652e+01	-1.41768e+01	2.32923e+01	1.21865e+02
-2.09785e+01	-1.39857e+01	2.36953e+01	1.23973e+02
-2.06918e+01	-1.37945e+01	2.41547e+01	1.26377e+02
-2.04051e+01	-1.36034e+01	2.46108e+01	1.28763e+02
-2.01184e+01	-1.34123e+01	2.49893e+01	1.30743e+02
-1.98317e+01	-1.32211e+01	2.54834e+01	1.33328e+02
-1.95450e+01	-1.30300e+01	2.58728e+01	1.35366e+02
-1.92583e+01	-1.28389e+01	2.63686e+01	1.37960e+02
-1.89716e+01	-1.26477e+01	2.69314e+01	1.40904e+02
-1.86849e+01	-1.24566e+01	2.73751e+01	1.43226e+02
-1.83982e+01	-1.22655e+01	2.79181e+01	1.46066e+02
-1.81115e+01	-1.20743e+01	2.85079e+01	1.49153e+02
-1.78248e+01	-1.18832e+01	2.91455e+01	1.52488e+02
-1.75381e+01	-1.16921e+01	2.97557e+01	1.55681e+02
-1.72514e+01	-1.15009e+01	3.03669e+01	1.58879e+02
-1.69647e+01	-1.13098e+01	3.09440e+01	1.61898e+02
-1.66780e+01	-1.11187e+01	3.16177e+01	1.65423e+02
-1.63913e+01	-1.09275e+01	3.22833e+01	1.68905e+02
-1.61046e+01	-1.07364e+01	3.30269e+01	1.72796e+02
-1.58179e+01	-1.05453e+01	3.37592e+01	1.76627e+02
-1.55312e+01	-1.03541e+01	3.45040e+01	1.80524e+02
-1.52445e+01	-1.01630e+01	3.53555e+01	1.84979e+02
