ver:"3.0"
id,air,bacnetConnRef,bacnetCur,bacnetCurName,bacnetDesc,bacnetHis,bacnetHisName,bacnetLogBufferSize,bacnetLogCovIncrement,bacnetLogInterval,bacnetPoint,bellaCurValPolling,chilled,connRef,cur,curStatus,curVal,disMacro,disable,discharge,equipRef,his,hisCollectInterval,hisCollectWriteFreq,hisEnd,hisMode,hisSize,hisStart,hisStatus,humidity,kind,leaving,locationRef,mixed,navName,outside,point,preheat,return,sensor,siteRef,sp,spaceRef,temp,tmp,tz,unit,water,zone,mod
@p:integration:r:267d5139-144b9aaa "71-AHU-38 Supply Air Temperature",M,@p:integration:r:241312f3-16ea8cc5 "71-NAE-7","AI3001375","NAE7/BACnet Trunk 2.71 AHU 38.71 AHU 38 SAT","Discharge Air Temperature","TL3002769","NAE7/BACnet Trunk 2.71 AHU 38.71 AHU 38 SAT.Trend1",144_records,,1min,M,M,,@p:integration:r:241312f3-16ea8cc5 "71-NAE-7",M,"ok",69.5362777709961°F,"\$equipRef \$navName",,M,@p:integration:r:267bd1f1-30e50564 "71-AHU-38",M,1min,15min,2024-10-28T11:31:00-07:00 Los_Angeles,,2269015,2020-06-18T06:18:00-07:00 Los_Angeles,"unknown",,"Number",,@p:integration:r:267bcaad-329ce41f "B71 AHUs & Exhaust",,"Supply Air Temperature",,M,,,M,@p:integration:r:2288ede8-e064f7db "71",,@p:integration:r:2dc7b7c4-69cdffba "B71 BELLA Lab",M,,"Los_Angeles","°F",,,2024-10-28T00:22:53.466Z
@p:integration:r:267ea201-8f32486c "B71 BELLA Lab Lab 146 ERC [Zone 1 (NE)] Zone Temperature (Laser 1)",M,@p:integration:r:241312f3-16ea8cc5 "71-NAE-7","AI3002349","NAE7/BACnet Trunk 2.71 AHU 37 REHEAT ZN 1-3.71 LASER BAY ZN 1 TEMP","Zone Temperature","TL3002749","NAE7/BACnet Trunk 2.71 AHU 37 REHEAT ZN 1-3.71 LASER BAY ZN 1 TEMP.Trend1",144_records,,1min,M,M,,@p:integration:r:241312f3-16ea8cc5 "71-NAE-7",M,"ok",71.23760986328125°F,"\$equipRef \$navName",,,@p:integration:r:2ca72ffd-a09ddce9 "B71 BELLA Lab Lab 146 ERC [Zone 1 (NE)]",M,1min,15min,2024-10-28T11:32:00-07:00 Los_Angeles,,2267366,2020-06-19T09:52:00-07:00 Los_Angeles,"unknown",,"Number",,@p:integration:r:267bcaad-329ce41f "B71 AHUs & Exhaust",,"Zone Temperature (Laser 1)",,M,,,M,@p:integration:r:2288ede8-e064f7db "71",,@p:integration:r:2dc7b8d1-ac90d516 "B71 BELLA Lab Lab 146",M,,"Los_Angeles","°F",,M,2024-10-28T00:22:53.499Z
@p:integration:r:2683b862-fe6a7368 "B71 BELLA Lab Lab 146C ERC [Exp Cave] Supply Air Temperature (Cave)",M,@p:integration:r:241312f3-16ea8cc5 "71-NAE-7","AI3002362","NAE7/BACnet Trunk 2.71 AHU 37 REHEAT ZN 4-7.71 EXPERIMENT CAVE SAT","Temperature","TL3002755","NAE7/BACnet Trunk 2.71 AHU 37 REHEAT ZN 4-7.71 EXPERIMENT CAVE SAT.Trend1",144_records,,1min,M,M,,@p:integration:r:241312f3-16ea8cc5 "71-NAE-7",M,"ok",68.39669799804688°F,"\$equipRef \$navName",,M,@p:integration:r:2ca7314e-9dfe75ee "B71 BELLA Lab Lab 146C ERC [Exp Cave]",M,1min,15min,2024-10-28T11:32:00-07:00 Los_Angeles,,2263044,2020-06-22T09:56:00-07:00 Los_Angeles,"unknown",,"Number",,@p:integration:r:267bcaad-329ce41f "B71 AHUs & Exhaust",,"Supply Air Temperature (Cave)",,M,,,M,@p:integration:r:2288ede8-e064f7db "71",,@p:integration:r:2dc7b8d1-a8c73d66 "B71 BELLA Lab Lab 146C",M,,"Los_Angeles","°F",,M,2024-10-28T00:22:53.495Z
@p:integration:r:2683b862-5868b3e6 "B71 BELLA Lab Lab 126A,B ERC (Staging/Gowning) Supply Air Temperature (STAGING GWNING)",M,@p:integration:r:241312f3-16ea8cc5 "71-NAE-7","AI3002360","NAE7/BACnet Trunk 2.71 AHU 37 REHEAT ZN 4-7.71 STAGING GWNING SAT","SUPPLY AIR TEMP","TL3002753","NAE7/BACnet Trunk 2.71 AHU 37 REHEAT ZN 4-7.71 STAGING GWNING SAT.Trend1",144_records,,1min,M,M,,@p:integration:r:241312f3-16ea8cc5 "71-NAE-7",M,"ok",68.06717681884766°F,"\$equipRef \$navName",,M,@p:integration:r:2ca7310f-99857f5f "B71 BELLA Lab Lab 126A,B ERC (Staging/Gowning)",M,1min,15min,2024-10-28T11:32:00-07:00 Los_Angeles,,2263028,2020-06-22T09:55:00-07:00 Los_Angeles,"unknown",,"Number",,@p:integration:r:267bcaad-329ce41f "B71 AHUs & Exhaust",,"Supply Air Temperature (STAGING GWNING)",,M,,,M,@p:integration:r:2288ede8-e064f7db "71",,@p:integration:r:2dc7b8d1-665600bf "B71 BELLA Lab Lab 126A,B",M,,"Los_Angeles","°F",,M,2024-10-28T00:22:53.584Z
@p:integration:r:267e8317-2318784e "71-AHU-34 Zone Temperature",M,@p:integration:r:241312f3-16ea8cc5 "71-NAE-7","AI3000090","NAE7/N2 Trunk 1.71_AHU34.ZAT","Zone Temperature","TL3008907","NAE7/N2 Trunk 1.71_AHU34.ZAT.Trend2",144_records,,1min,M,M,,@p:integration:r:241312f3-16ea8cc5 "71-NAE-7",M,"ok",69.51950073242188°F,"\$equipRef \$navName",,,@p:integration:r:267bcd2d-e15fd59e "71-AHU-34",M,1min,15min,2024-10-28T11:31:00-07:00 Los_Angeles,,2267345,2020-06-19T09:52:00-07:00 Los_Angeles,"unknown",,"Number",,@p:integration:r:267bcaad-329ce41f "B71 AHUs & Exhaust",,"Zone Temperature",,M,,,M,@p:integration:r:2288ede8-e064f7db "71",,@p:integration:r:29cd07f7-ab30dec0 "71-AHU-34",M,,"Los_Angeles","°F",,M,2024-10-28T00:22:53.559Z
@p:integration:r:267ea201-8710bdaa "B71 BELLA Lab Lab 146 ERC [Zone 3 (E)] Zone Temperature (Laser 3)",M,@p:integration:r:241312f3-16ea8cc5 "71-NAE-7","AI3002351","NAE7/BACnet Trunk 2.71 AHU 37 REHEAT ZN 1-3.71 LASER BAY ZN 3 TEMP","Zone Temperature","TL3002751","NAE7/BACnet Trunk 2.71 AHU 37 REHEAT ZN 1-3.71 LASER BAY ZN 3 TEMP.Trend1",144_records,,1min,M,M,,@p:integration:r:241312f3-16ea8cc5 "71-NAE-7",M,"ok",71.12863159179688°F,"\$equipRef \$navName",,,@p:integration:r:2ca72ffd-5996755a "B71 BELLA Lab Lab 146 ERC [Zone 3 (E)]",M,1min,15min,2024-10-28T11:31:00-07:00 Los_Angeles,,2267343,2020-06-19T09:52:00-07:00 Los_Angeles,"unknown",,"Number",,@p:integration:r:267bcaad-329ce41f "B71 AHUs & Exhaust",,"Zone Temperature (Laser 3)",,M,,,M,@p:integration:r:2288ede8-e064f7db "71",,@p:integration:r:2dc7b8d1-ac90d516 "B71 BELLA Lab Lab 146",M,,"Los_Angeles","°F",,M,2024-10-28T00:22:53.685Z
@p:integration:r:267ea201-e198290b "B71 BELLA Lab Lab 126A,B ERC (Staging/Gowning) Zone Temperature (STAGING GWNING)",M,@p:integration:r:241312f3-16ea8cc5 "71-NAE-7","AI3002363","NAE7/BACnet Trunk 2.71 AHU 37 REHEAT ZN 4-7.71 STAGING GWNING ZAT","Zone Temperature","TL3002756","NAE7/BACnet Trunk 2.71 AHU 37 REHEAT ZN 4-7.71 STAGING GWNING ZAT.Trend1",144_records,,1min,M,M,,@p:integration:r:241312f3-16ea8cc5 "71-NAE-7",M,"ok",75.14339447021484°F,"\$equipRef \$navName",,,@p:integration:r:2ca7310f-99857f5f "B71 BELLA Lab Lab 126A,B ERC (Staging/Gowning)",M,1min,15min,2024-10-28T11:32:00-07:00 Los_Angeles,,2267366,2020-06-19T09:53:00-07:00 Los_Angeles,"unknown",,"Number",,@p:integration:r:267bcaad-329ce41f "B71 AHUs & Exhaust",,"Zone Temperature (STAGING GWNING)",,M,,,M,@p:integration:r:2288ede8-e064f7db "71",,@p:integration:r:2dc7b8d1-665600bf "B71 BELLA Lab Lab 126A,B",M,,"Los_Angeles","°F",,M,2024-10-28T00:22:53.596Z
@p:integration:r:267ea201-0d8e905e "71-AHU-39 Return Air Temperature",M,@p:integration:r:241312f3-16ea8cc5 "71-NAE-7","AI3001385","NAE7/BACnet Trunk 2.71 AHU 39.71 AHU 39 PREHEAT TEMP","Return Air Temperature","TL3002771","NAE7/BACnet Trunk 2.71 AHU 39.71 AHU 39 PREHEAT TEMP.Trend1",144_records,,1min,M,M,,@p:integration:r:241312f3-16ea8cc5 "71-NAE-7",M,"ok",65.82954406738281°F,"\$equipRef \$navName",,,@p:integration:r:267bd1f9-ed5ccb3e "71-AHU-39",M,1min,15min,2024-10-28T11:31:00-07:00 Los_Angeles,,2267360,2020-06-19T09:52:00-07:00 Los_Angeles,"unknown",,"Number",,@p:integration:r:267bcaad-329ce41f "B71 AHUs & Exhaust",,"Return Air Temperature",,M,,M,M,@p:integration:r:2288ede8-e064f7db "71",,@p:integration:r:2dc7befc-7ae06237 "B71 BELLA Lab Rm 131 (Control)",M,,"Los_Angeles","°F",,,2024-10-28T00:22:53.408Z
@p:integration:r:267d5625-8d219c71 "71-AHU-36 Outside Air Relative Humidity",M,@p:integration:r:241312f3-16ea8cc5 "71-NAE-7","AI3001284","NAE7/BACnet Trunk 2.71 AHU 36.71 AHU 36 OA HUMID","Outdoor Air Humidity","TL3002735","NAE7/BACnet Trunk 2.71 AHU 36.71 AHU 36 OA HUMID.Trend1",144_records,,1min,M,M,,@p:integration:r:241312f3-16ea8cc5 "71-NAE-7",M,"ok",60.65007400512695%RH,"\$equipRef \$navName",,,@p:integration:r:267bd1d7-5c2d62ae "71-AHU-36",M,1min,15min,2024-10-28T11:31:00-07:00 Los_Angeles,,2269019,2020-06-18T06:18:00-07:00 Los_Angeles,"unknown",M,"Number",,@p:integration:r:267bcaad-329ce41f "B71 AHUs & Exhaust",,"Outside Air Relative Humidity",M,M,,,M,@p:integration:r:2288ede8-e064f7db "71",,@p:integration:r:2dc7b7c4-69cdffba "B71 BELLA Lab",,,"Los_Angeles","%RH",,,2024-10-28T00:22:53.563Z
@p:integration:r:267ea201-eff8bf7b "B71 BELLA Lab Lab 146 ERC [Zone 4 (SW)] Zone Temperature (Laser 4)",M,@p:integration:r:241312f3-16ea8cc5 "71-NAE-7","AI3002364","NAE7/BACnet Trunk 2.71 AHU 37 REHEAT ZN 4-7.71 LASER BAY ZN 4 ZAT","Zone Temperature","TL3002757","NAE7/BACnet Trunk 2.71 AHU 37 REHEAT ZN 4-7.71 LASER BAY ZN 4 ZAT.Trend1",144_records,,1min,M,M,,@p:integration:r:241312f3-16ea8cc5 "71-NAE-7",M,"ok",70.821044921875°F,"\$equipRef \$navName",,,@p:integration:r:2ca72ffd-882283f6 "B71 BELLA Lab Lab 146 ERC [Zone 4 (SW)]",M,1min,15min,2024-10-28T11:31:00-07:00 Los_Angeles,,2267361,2020-06-19T09:53:00-07:00 Los_Angeles,"unknown",,"Number",,@p:integration:r:267bcaad-329ce41f "B71 AHUs & Exhaust",,"Zone Temperature (Laser 4)",,M,,,M,@p:integration:r:2288ede8-e064f7db "71",,@p:integration:r:2dc7b8d1-ac90d516 "B71 BELLA Lab Lab 146",M,,"Los_Angeles","°F",,M,2024-10-28T00:22:53.521Z
@p:integration:r:267e619f-e9e84253 "71-AHU-39 Economizer Outside Air Temperature Lockout",M,@p:integration:r:241312f3-16ea8cc5 "71-NAE-7","AV3001378","NAE7/BACnet Trunk 2.71 AHU 39.71 AHU 39 OA LOCKOUT SP","CS Input (Float)","TL3009623","NAE7/BACnet Trunk 2.71 AHU 39.71 AHU 39 OA LOCKOUT SP.Trend1",144_records,,30min,M,M,,@p:integration:r:241312f3-16ea8cc5 "71-NAE-7",M,"ok",65.0999984741211°F,"\$equipRef \$navName",M,,@p:integration:r:268527b1-83c9b917 "71-AHU-39 Economizer",M,1min,15min,2024-10-28T11:31:00-07:00 Los_Angeles,,115673,2022-01-06T15:00:00-08:00 Los_Angeles,"unknown",,"Number",,@p:integration:r:267bcaad-329ce41f "B71 AHUs & Exhaust",,"Outside Air Temperature Lockout",M,M,,,,@p:integration:r:2288ede8-e064f7db "71",M,@p:integration:r:2dc7befc-7ae06237 "B71 BELLA Lab Rm 131 (Control)",M,,"Los_Angeles","°F",,,2024-10-28T00:22:53.678Z
@p:integration:r:267ea201-ca73ecb9 "71-AHU-38 Zone Temperature",M,@p:integration:r:241312f3-16ea8cc5 "71-NAE-7","AI3001370","NAE7/BACnet Trunk 2.71 AHU 38.71 AHU 38 ZAT","Zone Temperature","TL3002768","NAE7/BACnet Trunk 2.71 AHU 38.71 AHU 38 ZAT.Trend1",144_records,,1min,M,M,,@p:integration:r:241312f3-16ea8cc5 "71-NAE-7",M,"ok",70.59098052978516°F,"\$equipRef \$navName",,,@p:integration:r:267bd1f1-30e50564 "71-AHU-38",M,1min,15min,2024-10-28T11:31:00-07:00 Los_Angeles,,2267360,2020-06-19T09:53:00-07:00 Los_Angeles,"unknown",,"Number",,@p:integration:r:267bcaad-329ce41f "B71 AHUs & Exhaust",,"Zone Temperature",,M,,,M,@p:integration:r:2288ede8-e064f7db "71",,@p:integration:r:2dc7b7c4-69cdffba "B71 BELLA Lab",M,,"Los_Angeles","°F",,M,2024-10-28T00:22:53.576Z
@p:integration:r:267ea201-ddf21d90 "B71 BELLA Lab Lab 146 ERC [Beam Focus (S)] Zone Temperature (Beam Focus)",M,@p:integration:r:241312f3-16ea8cc5 "71-NAE-7","AI3002365","NAE7/BACnet Trunk 2.71 AHU 37 REHEAT ZN 4-7.71 BEAM FOCUS ZAT","Zone Temperature","TL3002758","NAE7/BACnet Trunk 2.71 AHU 37 REHEAT ZN 4-7.71 BEAM FOCUS ZAT.Trend1",144_records,,1min,M,M,,@p:integration:r:241312f3-16ea8cc5 "71-NAE-7",M,"ok",71.00169372558594°F,"\$equipRef \$navName",,,@p:integration:r:2ca7314e-58ccd2ff "B71 BELLA Lab Lab 146 ERC [Beam Focus (S)]",M,1min,15min,2024-10-28T11:31:00-07:00 Los_Angeles,,2267360,2020-06-19T09:53:00-07:00 Los_Angeles,"unknown",,"Number",,@p:integration:r:267bcaad-329ce41f "B71 AHUs & Exhaust",,"Zone Temperature (Beam Focus)",,M,,,M,@p:integration:r:2288ede8-e064f7db "71",,@p:integration:r:2dc7b8d1-ac90d516 "B71 BELLA Lab Lab 146",M,,"Los_Angeles","°F",,M,2024-10-28T00:22:53.515Z
@p:integration:r:267ea201-b86a0389 "71-AHU-37 Return Air Temperature",M,@p:integration:r:241312f3-16ea8cc5 "71-NAE-7","AI3008771","NAE7/BACnet Trunk 2.71 AHU 37.71 AHU 37 RAT","Return Air Temperature","TL3008772","NAE7/BACnet Trunk 2.71 AHU 37.71 AHU 37 RAT.Trend1",144_records,,1min,M,M,,@p:integration:r:241312f3-16ea8cc5 "71-NAE-7",M,"ok",69.41578674316406°F,"\$equipRef \$navName",,,@p:integration:r:267bd1e8-4c2565f9 "71-AHU-37",M,1min,15min,2024-10-28T11:31:00-07:00 Los_Angeles,,1552567,2020-06-18T12:20:00-07:00 Los_Angeles,"unknown",,"Number",,@p:integration:r:267bcaad-329ce41f "B71 AHUs & Exhaust",,"Return Air Temperature",,M,,M,M,@p:integration:r:2288ede8-e064f7db "71",,@p:integration:r:2dc7b7c4-69cdffba "B71 BELLA Lab",M,,"Los_Angeles","°F",,,2024-10-28T00:22:53.633Z
@p:integration:r:267d5138-e31feaaa "71-AHU-37 Supply Air Temperature",M,@p:integration:r:241312f3-16ea8cc5 "71-NAE-7","AI3001341","NAE7/BACnet Trunk 2.71 AHU 37.71 AHU 37 SAT","Discharge Air Temperature","TL3002739","NAE7/BACnet Trunk 2.71 AHU 37.71 AHU 37 SAT.Trend1",144_records,,1min,M,M,,@p:integration:r:241312f3-16ea8cc5 "71-NAE-7",M,"ok",68.34190368652344°F,"\$equipRef \$navName",,M,@p:integration:r:267bd1e8-4c2565f9 "71-AHU-37",M,1min,15min,2024-10-28T11:31:00-07:00 Los_Angeles,,2269016,2020-06-18T06:18:00-07:00 Los_Angeles,"unknown",,"Number",,@p:integration:r:267bcaad-329ce41f "B71 AHUs & Exhaust",,"Supply Air Temperature",,M,,,M,@p:integration:r:2288ede8-e064f7db "71",,@p:integration:r:2dc7b7c4-69cdffba "B71 BELLA Lab",M,,"Los_Angeles","°F",,,2024-10-28T00:22:53.436Z
@p:integration:r:267e623c-c00e0b8c "71-AHU-38 Mixed Air Temperature",M,@p:integration:r:241312f3-16ea8cc5 "71-NAE-7","AI3001362","NAE7/BACnet Trunk 2.71 AHU 38.71 AHU 38 MAT","Mixed Air Temperature","TL3002760","NAE7/BACnet Trunk 2.71 AHU 38.71 AHU 38 MAT.Trend1",144_records,,1min,M,M,,@p:integration:r:241312f3-16ea8cc5 "71-NAE-7",M,"ok",69.02381896972656°F,"\$equipRef \$navName",,,@p:integration:r:267bd1f1-30e50564 "71-AHU-38",M,1min,15min,2024-10-28T11:31:00-07:00 Los_Angeles,,2268806,2020-06-18T09:51:00-07:00 Los_Angeles,"unknown",,"Number",,@p:integration:r:267bcaad-329ce41f "B71 AHUs & Exhaust",M,"Mixed Air Temperature",,M,,,M,@p:integration:r:2288ede8-e064f7db "71",,@p:integration:r:2dc7b7c4-69cdffba "B71 BELLA Lab",M,,"Los_Angeles","°F",,,2024-10-28T00:22:53.688Z
