id,air,bacnetConnRef,bacnetCur,bacnetCurName,bacnetDesc,bacnetHis,bacnetHisName,bacnetLogBufferSize,bacnetLogCovIncrement,bacnetLogInterval,bacnetPoint,bellaCurValPolling,chilled,cmd,connRef,cur,curStatus,curVal,disMacro,disable,discharge,equipRef,his,hisCollectInterval,hisCollectWriteFreq,hisEnd,hisMode,hisSize,hisStart,hisStatus,humidity,kind,leaving,locationRef,mixed,navName,outside,point,preheat,return,sensor,siteRef,sp,spaceRef,temp,tmp,tz,unit,water,writeLevel,writeStatus,zone,mod
@p:integration:r:267ea201-0d8e905e '71-AHU-39 Return Air Temperature',MARKER,@p:integration:r:241312f3-16ea8cc5 '71-NAE-7',AI3001385,NAE7/BACnet Trunk 2.71 AHU 39.71 AHU 39 PREHEAT TEMP,Return Air Temperature,TL3002771,NAE7/BACnet Trunk 2.71 AHU 39.71 AHU 39 PREHEAT TEMP.Trend1,144.0 records,,1.0 min,MARKER,MARKER,,,@p:integration:r:241312f3-16ea8cc5 '71-NAE-7',MARKER,ok,62.811588287353516 °F,$equipRef $navName,,,@p:integration:r:267bd1f9-ed5ccb3e '71-AHU-39',MARKER,1.0 min,15.0 min,2024-10-29 11:44:00-07:00,,2268813.0,2020-06-19 09:52:00-07:00,unknown,,Number,,@p:integration:r:267bcaad-329ce41f 'B71 AHUs & Exhaust',,Return Air Temperature,,MARKER,,MARKER,MARKER,@p:integration:r:2288ede8-e064f7db '71',,@p:integration:r:2dc7befc-7ae06237 'B71 BELLA Lab Rm 131 (Control)',MARKER,,Los_Angeles,°F,,,,,2024-10-28 00:22:53.408000+00:00
@p:integration:r:267d5138-e31feaaa '71-AHU-37 Supply Air Temperature',MARKER,@p:integration:r:241312f3-16ea8cc5 '71-NAE-7',AI3001341,NAE7/BACnet Trunk 2.71 AHU 37.71 AHU 37 SAT,Discharge Air Temperature,TL3002739,NAE7/BACnet Trunk 2.71 AHU 37.71 AHU 37 SAT.Trend1,144.0 records,,1.0 min,MARKER,MARKER,,,@p:integration:r:241312f3-16ea8cc5 '71-NAE-7',MARKER,ok,67.7739486694336 °F,$equipRef $navName,,MARKER,@p:integration:r:267bd1e8-4c2565f9 '71-AHU-37',MARKER,1.0 min,15.0 min,2024-10-29 11:44:00-07:00,,2270469.0,2020-06-18 06:18:00-07:00,unknown,,Number,,@p:integration:r:267bcaad-329ce41f 'B71 AHUs & Exhaust',,Supply Air Temperature,,MARKER,,,MARKER,@p:integration:r:2288ede8-e064f7db '71',,@p:integration:r:2dc7b7c4-69cdffba 'B71 BELLA Lab',MARKER,,Los_Angeles,°F,,,,,2024-10-28 00:22:53.436000+00:00
@p:integration:r:267ea201-196a07a3 'B71 BELLA Lab Lab 146C ERC [Exp Cave] Zone Temperature (Cave)',MARKER,@p:integration:r:241312f3-16ea8cc5 '71-NAE-7',AI3002374,NAE7/BACnet Trunk 2.71 AHU 37 REHEAT ZN 4-7.71 EXPERIMENT CAVE ZAT,Zone Temperature,TL3002759,NAE7/BACnet Trunk 2.71 AHU 37 REHEAT ZN 4-7.71 EXPERIMENT CAVE ZAT.Trend1,144.0 records,,1.0 min,MARKER,MARKER,,,@p:integration:r:241312f3-16ea8cc5 '71-NAE-7',MARKER,ok,72.31693267822266 °F,$equipRef $navName,,,@p:integration:r:2ca7314e-9dfe75ee 'B71 BELLA Lab Lab 146C ERC [Exp Cave]',MARKER,1.0 min,15.0 min,2024-10-29 11:44:00-07:00,,2268819.0,2020-06-19 09:53:00-07:00,unknown,,Number,,@p:integration:r:267bcaad-329ce41f 'B71 AHUs & Exhaust',,Zone Temperature (Cave),,MARKER,,,MARKER,@p:integration:r:2288ede8-e064f7db '71',,@p:integration:r:2dc7b8d1-a8c73d66 'B71 BELLA Lab Lab 146C',MARKER,,Los_Angeles,°F,,,,MARKER,2024-10-28 00:22:53.438000+00:00
@p:integration:r:267ea201-276dec1f '71-AHU-39 Zone Temperature',MARKER,@p:integration:r:241312f3-16ea8cc5 '71-NAE-7',AI3001388,NAE7/BACnet Trunk 2.71 AHU 39.71 AHU 39 ZAT,Zone Temperature,TL3002773,NAE7/BACnet Trunk 2.71 AHU 39.71 AHU 39 ZAT.Trend1,144.0 records,,1.0 min,MARKER,MARKER,,,@p:integration:r:241312f3-16ea8cc5 '71-NAE-7',MARKER,ok,70.21957397460938 °F,$equipRef $navName,,,@p:integration:r:267bd1f9-ed5ccb3e '71-AHU-39',MARKER,1.0 min,15.0 min,2024-10-29 11:44:00-07:00,,2268798.0,2020-06-19 09:52:00-07:00,unknown,,Number,,@p:integration:r:267bcaad-329ce41f 'B71 AHUs & Exhaust',,Zone Temperature,,MARKER,,,MARKER,@p:integration:r:2288ede8-e064f7db '71',,@p:integration:r:2dc7befc-7ae06237 'B71 BELLA Lab Rm 131 (Control)',MARKER,,Los_Angeles,°F,,,,MARKER,2024-10-28 00:22:53.439000+00:00
@p:integration:r:2683b862-3c26638a 'B71 BELLA Lab Lab 146 ERC [Zone 1 (NE)] Supply Air Temperature (Laser 1)',MARKER,@p:integration:r:241312f3-16ea8cc5 '71-NAE-7',AI3002347,NAE7/BACnet Trunk 2.71 AHU 37 REHEAT ZN 1-3.71 LASER BAY ZN 1 SAT,Cold Deck Temperature,TL3002746,NAE7/BACnet Trunk 2.71 AHU 37 REHEAT ZN 1-3.71 LASER BAY ZN 1 SAT.Trend1,144.0 records,,1.0 min,MARKER,MARKER,,,@p:integration:r:241312f3-16ea8cc5 '71-NAE-7',MARKER,ok,68.89019775390625 °F,$equipRef $navName,,MARKER,@p:integration:r:2ca72ffd-a09ddce9 'B71 BELLA Lab Lab 146 ERC [Zone 1 (NE)]',MARKER,1.0 min,15.0 min,2024-10-29 11:44:00-07:00,,2264476.0,2020-06-22 09:55:00-07:00,unknown,,Number,,@p:integration:r:267bcaad-329ce41f 'B71 AHUs & Exhaust',,Supply Air Temperature (Laser 1),,MARKER,,,MARKER,@p:integration:r:2288ede8-e064f7db '71',,@p:integration:r:2dc7b8d1-ac90d516 'B71 BELLA Lab Lab 146',MARKER,,Los_Angeles,°F,,,,MARKER,2024-10-28 00:22:53.445000+00:00
@p:integration:r:2ca74be8-6b8f8d0b '71-AHU-36 Supply Air Temperature Setpoint',MARKER,@p:integration:r:241312f3-16ea8cc5 '71-NAE-7',AV3001315,NAE7/BACnet Trunk 2.71 AHU 36.71 AHU 36 SAT SP,CS Input (Float),TL3002814,NAE7/BACnet Trunk 2.71 AHU 36.71 AHU 36 SAT SP.Trend1,144.0 records,0.20000000298023224,0.0 min,MARKER,MARKER,,,@p:integration:r:241312f3-16ea8cc5 '71-NAE-7',MARKER,ok,55.0 °F,$equipRef $navName,,MARKER,@p:integration:r:267bd1d7-5c2d62ae '71-AHU-36',MARKER,1.0 min,15.0 min,2024-10-29 11:44:00-07:00,cov,70361.0,2022-11-02 16:16:07-07:00,unknown,,Number,,@p:integration:r:267bcaad-329ce41f 'B71 AHUs & Exhaust',,Supply Air Temperature Setpoint,,MARKER,,,,@p:integration:r:2288ede8-e064f7db '71',MARKER,@p:integration:r:2dc7b7c4-69cdffba 'B71 BELLA Lab',MARKER,2023-09-27,Los_Angeles,°F,,,,,2024-10-28 00:22:53.456000+00:00
@p:integration:r:267e623c-5e7f6985 '71-AHU-39 Mixed Air Temperature',MARKER,@p:integration:r:241312f3-16ea8cc5 '71-NAE-7',AI3001382,NAE7/BACnet Trunk 2.71 AHU 39.71 AHU 39 MAT,Mixed Air Temperature,TL3002770,NAE7/BACnet Trunk 2.71 AHU 39.71 AHU 39 MAT.Trend1,144.0 records,,1.0 min,MARKER,MARKER,,,@p:integration:r:241312f3-16ea8cc5 '71-NAE-7',MARKER,ok,61.762001037597656 °F,$equipRef $navName,,,@p:integration:r:267bd1f9-ed5ccb3e '71-AHU-39',MARKER,1.0 min,15.0 min,2024-10-29 11:44:00-07:00,,2270254.0,2020-06-18 09:51:00-07:00,unknown,,Number,,@p:integration:r:267bcaad-329ce41f 'B71 AHUs & Exhaust',MARKER,Mixed Air Temperature,,MARKER,,,MARKER,@p:integration:r:2288ede8-e064f7db '71',,@p:integration:r:2dc7befc-7ae06237 'B71 BELLA Lab Rm 131 (Control)',MARKER,,Los_Angeles,°F,,,,,2024-10-28 00:22:53.457000+00:00
@p:integration:r:2683b862-24c6d3f1 'B71 BELLA Lab Lab 146 ERC [Beam Focus (S)] Supply Air Temperature (Beam Focus)',MARKER,@p:integration:r:241312f3-16ea8cc5 '71-NAE-7',AI3002361,NAE7/BACnet Trunk 2.71 AHU 37 REHEAT ZN 4-7.71 BEAM FOCUS SAT,DISCHARGE AIR Temperature,TL3002754,NAE7/BACnet Trunk 2.71 AHU 37 REHEAT ZN 4-7.71 BEAM FOCUS SAT.Trend1,144.0 records,,1.0 min,MARKER,MARKER,,,@p:integration:r:241312f3-16ea8cc5 '71-NAE-7',MARKER,ok,71.17726135253906 °F,$equipRef $navName,,MARKER,@p:integration:r:2ca7314e-58ccd2ff 'B71 BELLA Lab Lab 146 ERC [Beam Focus (S)]',MARKER,1.0 min,15.0 min,2024-10-29 11:44:00-07:00,,2264477.0,2020-06-22 09:55:00-07:00,unknown,,Number,,@p:integration:r:267bcaad-329ce41f 'B71 AHUs & Exhaust',,Supply Air Temperature (Beam Focus),,MARKER,,,MARKER,@p:integration:r:2288ede8-e064f7db '71',,@p:integration:r:2dc7b8d1-ac90d516 'B71 BELLA Lab Lab 146',MARKER,,Los_Angeles,°F,,,,MARKER,2024-10-28 00:22:53.459000+00:00
@p:integration:r:267ea201-da2ebace '71-AHU-36 Leaving Air Temperature (CHW Coil)',MARKER,@p:integration:r:241312f3-16ea8cc5 '71-NAE-7',AI3001325,NAE7/BACnet Trunk 2.71 AHU 36.71 AHU 36 CLG VLV DA TEMP,Discharge Air Temperature,TL3002724,NAE7/BACnet Trunk 2.71 AHU 36.71 AHU 36 CLG VLV DA TEMP.Trend1,144.0 records,,1.0 min,MARKER,MARKER,,,@p:integration:r:241312f3-16ea8cc5 '71-NAE-7',MARKER,ok,52.53693389892578 °F,$equipRef $navName,,MARKER,@p:integration:r:267bd1d7-5c2d62ae '71-AHU-36',MARKER,1.0 min,15.0 min,2024-10-29 11:44:00-07:00,,2268821.0,2020-06-19 09:53:00-07:00,unknown,,Number,MARKER,@p:integration:r:267bcaad-329ce41f 'B71 AHUs & Exhaust',,Leaving Air Temperature (CHW Coil),,MARKER,,,MARKER,@p:integration:r:2288ede8-e064f7db '71',,@p:integration:r:2dc7b7c4-69cdffba 'B71 BELLA Lab',MARKER,2023-09-27,Los_Angeles,°F,,,,,2024-10-28 00:22:53.460000+00:00
@p:integration:r:267d5139-144b9aaa '71-AHU-38 Supply Air Temperature',MARKER,@p:integration:r:241312f3-16ea8cc5 '71-NAE-7',AI3001375,NAE7/BACnet Trunk 2.71 AHU 38.71 AHU 38 SAT,Discharge Air Temperature,TL3002769,NAE7/BACnet Trunk 2.71 AHU 38.71 AHU 38 SAT.Trend1,144.0 records,,1.0 min,MARKER,MARKER,,,@p:integration:r:241312f3-16ea8cc5 '71-NAE-7',MARKER,ok,73.73503875732422 °F,$equipRef $navName,,MARKER,@p:integration:r:267bd1f1-30e50564 '71-AHU-38',MARKER,1.0 min,15.0 min,2024-10-29 11:44:00-07:00,,2270468.0,2020-06-18 06:18:00-07:00,unknown,,Number,,@p:integration:r:267bcaad-329ce41f 'B71 AHUs & Exhaust',,Supply Air Temperature,,MARKER,,,MARKER,@p:integration:r:2288ede8-e064f7db '71',,@p:integration:r:2dc7b7c4-69cdffba 'B71 BELLA Lab',MARKER,,Los_Angeles,°F,,,,,2024-10-28 00:22:53.466000+00:00
