,Name,Description,Status,Value,Unit,Update_Time,System_Time,Data_Age
0,@p:integration:r:267ea201-0d8e905e '71-AHU-39 Return Air Temperature',Return Air Temperature,ok,62,.,2020-06-19 09:52:00-07:00,2024-10-29 11:55:26.625499-07:00,1593 days 02:03:26.625499
1,@p:integration:r:267d5138-e31feaaa '71-AHU-37 Supply Air Temperature',Supply Air Temperature,ok,67,.,2020-06-18 06:18:00-07:00,2024-10-29 11:55:26.625499-07:00,1594 days 05:37:26.625499
2,@p:integration:r:267ea201-196a07a3 'B71 BELLA Lab Lab 146C ERC [Exp Cave] Zone Temperature (Cave)',Zone Temperature (Cave),ok,72,.,2020-06-19 09:53:00-07:00,2024-10-29 11:55:26.625499-07:00,1593 days 02:02:26.625499
3,@p:integration:r:267ea201-276dec1f '71-AHU-39 Zone Temperature',Zone Temperature,ok,70,.,2020-06-19 09:52:00-07:00,2024-10-29 11:55:26.625499-07:00,1593 days 02:03:26.625499
4,@p:integration:r:2683b862-3c26638a 'B71 BELLA Lab Lab 146 ERC [Zone 1 (NE)] Supply Air Temperature (Laser 1)',Supply Air Temperature (Laser 1),ok,68,.,2020-06-22 09:55:00-07:00,2024-10-29 11:55:26.625499-07:00,1590 days 02:00:26.625499
5,@p:integration:r:2ca74be8-6b8f8d0b '71-AHU-36 Supply Air Temperature Setpoint',Supply Air Temperature Setpoint,ok,55,.,2022-11-02 16:16:07-07:00,2024-10-29 11:55:26.625499-07:00,726 days 19:39:19.625499
6,@p:integration:r:267e623c-5e7f6985 '71-AHU-39 Mixed Air Temperature',Mixed Air Temperature,ok,61,.,2020-06-18 09:51:00-07:00,2024-10-29 11:55:26.625499-07:00,1594 days 02:04:26.625499
7,@p:integration:r:2683b862-24c6d3f1 'B71 BELLA Lab Lab 146 ERC [Beam Focus (S)] Supply Air Temperature (Beam Focus)',Supply Air Temperature (Beam Focus),ok,71,.,2020-06-22 09:55:00-07:00,2024-10-29 11:55:26.625499-07:00,1590 days 02:00:26.625499
8,@p:integration:r:267ea201-da2ebace '71-AHU-36 Leaving Air Temperature (CHW Coil)',Leaving Air Temperature (CHW Coil),ok,52,.,2020-06-19 09:53:00-07:00,2024-10-29 11:55:26.625499-07:00,1593 days 02:02:26.625499
9,@p:integration:r:267d5139-144b9aaa '71-AHU-38 Supply Air Temperature',Supply Air Temperature,ok,73,.,2020-06-18 06:18:00-07:00,2024-10-29 11:55:26.625499-07:00,1594 days 05:37:26.625499
10,@p:integration:r:2683b862-fe6a7368 'B71 BELLA Lab Lab 146C ERC [Exp Cave] Supply Air Temperature (Cave)',Supply Air Temperature (Cave),ok,68,.,2020-06-22 09:56:00-07:00,2024-10-29 11:55:26.625499-07:00,1590 days 01:59:26.625499
11,@p:integration:r:267ea201-8f32486c 'B71 BELLA Lab Lab 146 ERC [Zone 1 (NE)] Zone Temperature (Laser 1)',Zone Temperature (Laser 1),ok,70,.,2020-06-19 09:52:00-07:00,2024-10-29 11:55:26.625499-07:00,1593 days 02:03:26.625499
12,@p:integration:r:267ea201-ddf21d90 'B71 BELLA Lab Lab 146 ERC [Beam Focus (S)] Zone Temperature (Beam Focus)',Zone Temperature (Beam Focus),ok,71,.,2020-06-19 09:53:00-07:00,2024-10-29 11:55:26.625499-07:00,1593 days 02:02:26.625499
13,@p:integration:r:267ea201-ec8e91ee 'B71 BELLA Lab Lab 146 ERC [Zone 2 (NW)] Zone Temperature (Laser 2)',Zone Temperature (Laser 2),ok,70,.,2020-06-19 09:52:00-07:00,2024-10-29 11:55:26.625499-07:00,1593 days 02:03:26.625499
14,@p:integration:r:267ea201-eff8bf7b 'B71 BELLA Lab Lab 146 ERC [Zone 4 (SW)] Zone Temperature (Laser 4)',Zone Temperature (Laser 4),ok,70,.,2020-06-19 09:53:00-07:00,2024-10-29 11:55:26.625499-07:00,1593 days 02:02:26.625499
15,@p:integration:r:24c357ca-63fe7fab 'B71 CHW Plant Primary CHW Supply Temperature',CHW Supply Temperature,ok,42,.,2019-07-17 21:25:00-07:00,2024-10-29 11:55:26.625499-07:00,1930 days 14:30:26.625499
16,@p:integration:r:2683b862-e2bc50aa 'B71 BELLA Lab Lab 146 ERC [Zone 4 (SW)] Supply Air Temperature (Laser 4)',Supply Air Temperature (Laser 4),ok,73,.,2020-06-22 09:55:00-07:00,2024-10-29 11:55:26.625499-07:00,1590 days 02:00:26.625499
17,@p:integration:r:267d5138-e6f96a0f '71-AHU-36 Supply Air Temperature',Supply Air Temperature,ok,55,.,2020-06-18 06:18:00-07:00,2024-10-29 11:55:26.625499-07:00,1594 days 05:37:26.625499
18,@p:integration:r:2683b862-3b054f74 'B71 BELLA Lab Lab 146 ERC [Zone 2 (NW)] Supply Air Temperature (Laser 2)',Supply Air Temperature (Laser 2),ok,69,.,2020-06-22 09:55:00-07:00,2024-10-29 11:55:26.625499-07:00,1590 days 02:00:26.625499
19,@p:integration:r:267ea201-8cb9e4d8 '71 Clean Room Zone Temperature (Clean Rm)',Zone Temperature (Clean Rm),ok,71,.,2020-06-19 09:52:00-07:00,2024-10-29 11:55:26.625499-07:00,1593 days 02:03:26.625499
20,@p:integration:r:267e8317-2318784e '71-AHU-34 Zone Temperature',Zone Temperature,ok,69,.,2020-06-19 09:52:00-07:00,2024-10-29 11:55:26.625499-07:00,1593 days 02:03:26.625499
21,@p:integration:r:267d5625-8d219c71 '71-AHU-36 Outside Air Relative Humidity',Outside Air Relative Humidity,ok,35,.,2020-06-18 06:18:00-07:00,2024-10-29 11:55:26.625499-07:00,1594 days 05:37:26.625499
22,@p:integration:r:2683be06-9d05efdb '71 Clean Room Zone Temperature',Zone Temperature,ok,71,.,2020-06-21 12:20:00-07:00,2024-10-29 11:55:26.625499-07:00,1590 days 23:35:26.625499
23,@p:integration:r:2683b862-d6db65c4 'B71 BELLA Lab Lab 146 ERC [Zone 3 (E)] Supply Air Temperature (Laser 3)',Supply Air Temperature (Laser 3),ok,72,.,2020-06-22 09:55:00-07:00,2024-10-29 11:55:26.625499-07:00,1590 days 02:00:26.625499
24,@p:integration:r:267ea201-ca73ecb9 '71-AHU-38 Zone Temperature',Zone Temperature,ok,73,.,2020-06-19 09:53:00-07:00,2024-10-29 11:55:26.625499-07:00,1593 days 02:02:26.625499
