,motor_positions,beam_positions
0,63.0,272.633423
1,-115.0,265.465851
2,-179.0,263.449921
3,-86.0,266.990662
4,41.0,271.555054
5,-170.0,263.120453
6,37.0,270.49176
7,23.0,269.501892
8,-195.0,260.795715
9,82.0,270.496216
10,-99.0,263.019897
11,40.0,268.09198
12,96.0,270.8013
13,-187.0,259.722443
14,-101.0,262.913361
15,49.0,268.443542
16,105.0,270.893707
17,104.0,270.513214
18,-58.0,263.994446
19,162.0,272.11673
20,175.0,272.886047
21,40.0,267.090698
22,102.0,269.709412
23,-108.0,261.329407
24,2.0,265.323212
25,-188.0,258.008942
26,12.0,265.300049
27,3.0,264.820862
28,14.0,265.451935
29,-68.0,262.35199
30,-196.0,257.366425
31,-144.0,259.498322
32,-155.0,259.199402
33,154.0,270.40683
34,-91.0,260.330566
35,96.0,267.453674
36,54.0,265.887482
37,-81.0,260.6633
38,7.0,263.995819
39,-94.0,260.006287
40,-90.0,260.501251
41,21.0,264.999512
42,-82.0,261.357117
43,184.0,272.375458
44,28.0,266.462799
45,156.0,271.644714
46,-90.0,263.000702
47,150.0,271.640198
48,-107.0,262.609314
49,-122.0,262.388489
50,-179.0,260.546204
51,67.0,269.497894
52,5.0,267.197906
53,-27.0,265.724915
54,-12.0,266.754395
55,-161.0,262.000488
56,-85.0,264.885834
57,168.0,273.999512
58,-35.0,266.223633
59,84.0,271.000488
60,154.0,273.704681
61,-198.0,261.20401
62,-132.0,263.988861
63,-5.0,268.447723
64,180.0,275.536896
65,183.0,275.700134
66,-109.0,264.113373
67,123.0,272.797211
68,-52.0,265.67749
69,164.0,273.997986
70,-168.0,262.451965
71,63.0,270.647949
72,142.0,274.001495
73,64.0,270.992004
74,-135.0,263.297607
75,158.0,274.006348
76,72.0,270.396637
77,-92.0,264.659119
78,-114.0,264.098785
79,-117.0,263.673126
80,39.0,269.612152
81,15.0,268.504211
82,-5.0,267.80191
83,182.0,274.621979
84,-14.0,267.249268
85,-193.0,261.508179
86,128.0,272.894012
87,-108.0,264.493805
88,115.0,272.640198
89,160.0,274.808624
90,9.0,268.367065
91,105.0,272.196289
92,-40.0,266.49057
93,195.0,275.700256
94,-125.0,264.492249
95,-87.0,266.387848
96,172.0,275.698639
97,164.0,275.199402
98,99.0,272.197296
99,125.0,273.544861
